,Train,Val,Test
loss,"[0.5730133133175772, 0.4335588644682665, 0.36890806008405724, 0.32204261857016075, 0.29369523002247866, 0.2749036293955165, 0.2599843944846888, 0.24751519606039218, 0.2347919011220394, 0.22658543514834303, 0.2250934845916492, 0.22775353413031724, 0.21355135269202147, 0.20666169720169172, 0.21163004741130637, 0.21273224336975743, 0.21140121340983573, 0.20945617843578762, 0.20719372373842543, 0.20659639199304208]","[0.558678691451614, 0.4632695768330548, 0.39671538488284963, 0.3809014989717587, 0.32241031970526723, 0.2930163894150708, 0.29283681350785334, 0.24024563524368647, 0.24594246414867607, 0.2201963955083409, 0.2158375849594941, 0.19773877955771782, 0.22253809808879285, 0.1953612394832276, 0.19333425989827593, 0.18753587847223152, 0.19389272833595406, 0.18675314171894178, 0.18752202089573886, 0.18897118751664418]","[0.569847574910602, 0.4749904746139372, 0.40960715831937017, 0.39486108277295084, 0.33693464724598704, 0.30801492083717036, 0.3131757326222755, 0.25673827317518155, 0.26508254457164454, 0.22938528093131813, 0.23196680652531418, 0.2106531201987653, 0.24151470552425128, 0.21389234690247355, 0.21007440571446676, 0.2010244420049964, 0.20992041973246112, 0.19847801367978793, 0.2014595669870441, 0.20706056028201775]"
accuracy,"[0.7044900059700012, 0.8033186793327332, 0.8440702557563782, 0.8765251636505127, 0.8867740631103516, 0.8972669839859009, 0.9023914337158203, 0.9102001190185547, 0.9138604402542114, 0.9155685901641846, 0.91849684715271, 0.9177647829055786, 0.9241093397140503, 0.9316740036010742, 0.9245973825454712, 0.9285017251968384, 0.9236212968826294, 0.9245973825454712, 0.9272816181182861, 0.9265495538711548]","[0.8430033922195435, 0.8788396120071411, 0.8720136284828186, 0.8805460929870605, 0.8907849788665771, 0.8907849788665771, 0.9112628102302551, 0.9180887341499329, 0.914675772190094, 0.914675772190094, 0.9283276200294495, 0.9300341010093689, 0.9197952151298523, 0.9300341010093689, 0.92662113904953, 0.9283276200294495, 0.9283276200294495, 0.9300341010093689, 0.9317406415939331, 0.9317406415939331]","[0.835324227809906, 0.8703071475028992, 0.8813993334770203, 0.8745733499526978, 0.8950511813163757, 0.8984641432762146, 0.8856655359268188, 0.9095563292503357, 0.9027303457260132, 0.9223549365997314, 0.9163822531700134, 0.9240614175796509, 0.9027303457260132, 0.9172354936599731, 0.9215016961097717, 0.9249146580696106, 0.9189419746398926, 0.9240614175796509, 0.9249146580696106, 0.9197952151298523]"
precision,"[0.7361295223236084, 0.8018242120742798, 0.854172945022583, 0.9024627208709717, 0.9138270020484924, 0.9251903295516968, 0.934272289276123, 0.9393431544303894, 0.9461929202079773, 0.9466215968132019, 0.9510869383811951, 0.9519591331481934, 0.9557672739028931, 0.9590108394622803, 0.9579774737358093, 0.9572736620903015, 0.9554269909858704, 0.9586041569709778, 0.9575119018554688, 0.9593440294265747]","[0.9097561240196228, 0.9180327653884888, 0.8984198570251465, 0.9497487545013428, 0.9272300601005554, 0.9232558012008667, 0.9700000286102295, 0.9589372277259827, 0.9632353186607361, 0.9276018142700195, 0.966183602809906, 0.95961993932724, 0.975062370300293, 0.9685230255126953, 0.9683698415756226, 0.9595237970352173, 0.9684466123580933, 0.9618138670921326, 0.9641148447990417, 0.9731707572937012]","[0.8931116461753845, 0.9091967344284058, 0.9058957099914551, 0.9392059445381165, 0.9316037893295288, 0.9339622855186462, 0.9557521939277649, 0.950661838054657, 0.9591078162193298, 0.9331066012382507, 0.9587878584861755, 0.9527186751365662, 0.9707750678062439, 0.969059407711029, 0.9692496657371521, 0.9592814445495605, 0.9691358208656311, 0.9581339955329895, 0.9637243151664734, 0.9680196642875671]"
recall,"[0.9274247288703918, 0.9702340960502625, 0.9481605291366577, 0.931438148021698, 0.9327759146690369, 0.9347826242446899, 0.9317725896835327, 0.9374582171440125, 0.9351170659065247, 0.9371237754821777, 0.9364548325538635, 0.9344481825828552, 0.9394648671150208, 0.9468227624893188, 0.9377926588058472, 0.9441471695899963, 0.939130425453186, 0.9371237754821777, 0.9421404600143433, 0.939130425453186]","[0.8714953064918518, 0.9158878326416016, 0.9299065470695496, 0.8831775784492493, 0.922897219657898, 0.927570104598999, 0.9065420627593994, 0.927570104598999, 0.9182242751121521, 0.9579439163208008, 0.9345794320106506, 0.9439252614974976, 0.913551390171051, 0.9345794320106506, 0.9299065470695496, 0.9415887594223022, 0.9322429895401001, 0.9415887594223022, 0.9415887594223022, 0.9322429895401001]","[0.8795321583747864, 0.913450300693512, 0.934502899646759, 0.8853800892829895, 0.9239766001701355, 0.9263157844543457, 0.8842105269432068, 0.9239766001701355, 0.9052631855010986, 0.9625731110572815, 0.925146222114563, 0.9426900744438171, 0.8935672640800476, 0.9157894849777222, 0.9216374158859253, 0.9368420839309692, 0.9181286692619324, 0.9368420839309692, 0.9321637153625488, 0.9204678535461426]"
F1,"[0.820778489112854, 0.8780266642570496, 0.8987160921096802, 0.916721522808075, 0.923204243183136, 0.9299617409706116, 0.9330207705497742, 0.9383997321128845, 0.9406223893165588, 0.9418486952781677, 0.9437142014503479, 0.9431223273277283, 0.9475458860397339, 0.9528778195381165, 0.9477776288986206, 0.9506651163101196, 0.94720858335495, 0.9477422833442688, 0.9497639536857605, 0.9491296410560608]","[0.8902148008346558, 0.9169590473175049, 0.9138920903205872, 0.9152542352676392, 0.9250586032867432, 0.925407886505127, 0.9371981024742126, 0.9429929256439209, 0.940191388130188, 0.9425287246704102, 0.9501187801361084, 0.9517079591751099, 0.943305253982544, 0.9512485265731812, 0.9487485289573669, 0.9504716992378235, 0.949999988079071, 0.9515939354896545, 0.9527187347412109, 0.9522673487663269]","[0.8862699270248413, 0.9113185405731201, 0.9199769496917725, 0.9114990830421448, 0.9277745485305786, 0.9301232695579529, 0.9185905456542969, 0.9371293187141418, 0.9314079284667969, 0.9476108551025391, 0.9416667222976685, 0.9476778507232666, 0.9305724501609802, 0.9416716694831848, 0.9448441863059998, 0.9479289650917053, 0.9429429173469543, 0.9473683834075928, 0.9476813077926636, 0.9436450600624084]"
AUC ROC,"[0.5151564179032394, 0.6615611001774869, 0.755668715211958, 0.8298887386354032, 0.8477056493969066, 0.865405744781039, 0.8774386341958151, 0.8870503966289557, 0.8958076259010178, 0.8972622339205293, 0.9032454752906801, 0.9035959214227932, 0.9110681815437741, 0.9188084831508156, 0.9133909059077793, 0.9152143728191444, 0.9104496939256004, 0.9139589848230564, 0.9146622918754452, 0.915864856380474]","[0.8186590559564652, 0.8471844315627588, 0.8225482077368982, 0.8782976458062226, 0.8633473323080563, 0.8593546669821365, 0.9152963444930794, 0.9099875783745416, 0.9116437951023305, 0.8777061398320123, 0.9229859221578138, 0.9181651484679996, 0.9251301313143263, 0.9261504791198392, 0.9238140305217083, 0.9169969241689341, 0.9249822548207737, 0.9201614811309594, 0.9233260380929847, 0.9313113687448243]","[0.7978102459091999, 0.833696755031638, 0.8363366354898814, 0.8654029922334754, 0.870505654251296, 0.8748298190270629, 0.8869002158392828, 0.8973195343774789, 0.9005811057612485, 0.888226612799085, 0.9089453391628387, 0.9082535465899239, 0.9105060232073349, 0.9184625601859538, 0.921386536794141, 0.914793292379213, 0.9196321508292287, 0.913216005312967, 0.9187632593576476, 0.9192244544062574]"
AUC PRC,"[0.7356573939323425, 0.7996751070022583, 0.8477163910865784, 0.8906126022338867, 0.901444137096405, 0.9124360084533691, 0.9203096628189087, 0.9262269735336304, 0.9321413040161133, 0.9329776167869568, 0.9370140433311462, 0.9373846650123596, 0.94207763671875, 0.9468126893043518, 0.9437721967697144, 0.9445587992668152, 0.9416824579238892, 0.9442067742347717, 0.9443264007568359, 0.9453610777854919]","[0.8867048621177673, 0.9022485017776489, 0.8866410851478577, 0.9241210222244263, 0.9120520353317261, 0.9092854857444763, 0.9476051926612854, 0.9423825144767761, 0.9441930055618286, 0.9193072319030762, 0.9507569074630737, 0.946765124797821, 0.9539095163345337, 0.9529432654380798, 0.9516879916191101, 0.9461389780044556, 0.952315628528595, 0.9482952952384949, 0.9504618644714355, 0.956719696521759]","[0.8734043836593628, 0.8936459422111511, 0.8943437337875366, 0.9151719808578491, 0.9162408709526062, 0.9188982844352722, 0.9295571446418762, 0.9338500499725342, 0.9373576045036316, 0.9254871010780334, 0.9416264891624451, 0.9399272799491882, 0.9450978636741638, 0.948887825012207, 0.9504640102386475, 0.944770336151123, 0.9495183229446411, 0.9436953663825989, 0.9478369355201721, 0.9490514397621155]"
