,Train,Val,Test
loss,"[0.5358488432164322, 0.35469742820884465, 0.2984976886775243, 0.25851261608505527, 0.23297422811215027, 0.21497216993210844, 0.20510038140624878, 0.20598211853333717, 0.20883295797391394, 0.1817505590342246, 0.17937065286974962, 0.1785030227429904, 0.1883468868696504, 0.1836909669440544, 0.1808340950843657, 0.1727892757041909, 0.16387916078015524, 0.17826099812636578, 0.17162367857354857, 0.181967473360583]","[0.40794567038884033, 0.2953566896754342, 0.38789678143488393, 0.24439179031430064, 0.273826500149192, 0.25092015445635124, 0.24285814337231018, 0.19188445856845057, 0.18002941640647682, 0.19194542661913344, 0.1910355720870398, 0.1777725067694445, 0.1631139918054278, 0.16227083202652834, 0.1494461809461181, 0.18550007183708855, 0.17405676761189023, 0.17684610600809794, 0.17050552237275485, 0.2115532594758111]","[0.42977722130111745, 0.3286835903654227, 0.4136617175630621, 0.2792964444772617, 0.31544854743657885, 0.2845170446545691, 0.2784970175676249, 0.21473568740829424, 0.2021939382208763, 0.2237689925005307, 0.21984293291697632, 0.20507624556587353, 0.18725586007978465, 0.18695962922395887, 0.1722229145517623, 0.2200235682917205, 0.20653154210162325, 0.2124718260397581, 0.20103320519666415, 0.25432446076710885]"
accuracy,"[0.7337725758552551, 0.840165913105011, 0.8718886971473694, 0.8926305770874023, 0.9075158834457397, 0.9131283760070801, 0.9224011898040771, 0.9175207614898682, 0.9224011898040771, 0.9336261749267578, 0.9311859607696533, 0.9285017251968384, 0.9243533611297607, 0.9358223676681519, 0.9309419393539429, 0.9365544319152832, 0.9392386674880981, 0.9306979179382324, 0.9372864961624146, 0.9309419393539429]","[0.8310580253601074, 0.8771331310272217, 0.8276450634002686, 0.9044368863105774, 0.9027303457260132, 0.9061433672904968, 0.9010238647460938, 0.9197952151298523, 0.9300341010093689, 0.9197952151298523, 0.9197952151298523, 0.9215016961097717, 0.92662113904953, 0.9300341010093689, 0.935153603553772, 0.9300341010093689, 0.9232081770896912, 0.9249146580696106, 0.9283276200294495, 0.9163822531700134]","[0.8097269535064697, 0.8575085401535034, 0.8174061179161072, 0.8848122954368591, 0.86774742603302, 0.8779863715171814, 0.8856655359268188, 0.9121160507202148, 0.9138225317001343, 0.9078498482704163, 0.9104095697402954, 0.9163822531700134, 0.9232081770896912, 0.9249146580696106, 0.9291808605194092, 0.9112628102302551, 0.920648455619812, 0.9180887341499329, 0.9197952151298523, 0.9044368863105774]"
precision,"[0.831645131111145, 0.8880026340484619, 0.9190751314163208, 0.926706850528717, 0.9338650703430176, 0.9440323710441589, 0.9513513445854187, 0.9458641409873962, 0.9495289325714111, 0.9560402631759644, 0.9611716866493225, 0.9544994831085205, 0.953008770942688, 0.9614213109016418, 0.9564924240112305, 0.9595959782600403, 0.9606722593307495, 0.9574036598205566, 0.9652706980705261, 0.9561846852302551]","[0.9556786417961121, 0.9587628841400146, 0.9739130139350891, 0.9649999737739563, 0.9793281555175781, 0.9794344305992126, 0.9817708134651184, 0.9657701849937439, 0.9685230255126953, 0.975062370300293, 0.9727047085762024, 0.9727723002433777, 0.9661017060279846, 0.970802903175354, 0.9642857313156128, 0.9825436472892761, 0.9728395342826843, 0.9800000190734863, 0.9753694534301758, 0.9896640777587891]","[0.9593023061752319, 0.953825831413269, 0.9834087491035461, 0.9675324559211731, 0.9794520735740662, 0.9759358167648315, 0.9838926196098328, 0.9723618030548096, 0.9665841460227966, 0.9782330393791199, 0.9807692170143127, 0.9785082340240479, 0.972805917263031, 0.9740419983863831, 0.9684466123580933, 0.9795657992362976, 0.9798488616943359, 0.9822109341621399, 0.9786163568496704, 0.98562091588974]"
recall,"[0.7963210940361023, 0.8936454653739929, 0.9040133953094482, 0.926086962223053, 0.9397993087768555, 0.9364548325538635, 0.9418060183525085, 0.9408026933670044, 0.9438127279281616, 0.9528428316116333, 0.9438127279281616, 0.9471572041511536, 0.9428093433380127, 0.9501672387123108, 0.9484949707984924, 0.953177273273468, 0.9558528661727905, 0.9471572041511536, 0.9481605291366577, 0.9488294124603271]","[0.8060747385025024, 0.8691588640213013, 0.7850467562675476, 0.9018691778182983, 0.8855140209197998, 0.8901869058609009, 0.8808411359786987, 0.922897219657898, 0.9345794320106506, 0.913551390171051, 0.9158878326416016, 0.9182242751121521, 0.9322429895401001, 0.9322429895401001, 0.9462617039680481, 0.9205607771873474, 0.9205607771873474, 0.9158878326416016, 0.9252336621284485, 0.894859790802002]","[0.7719298005104065, 0.8456140160560608, 0.7625731229782104, 0.871345043182373, 0.8362573385238647, 0.8538011908531189, 0.8573099374771118, 0.9052631855010986, 0.913450300693512, 0.8935672640800476, 0.8947368264198303, 0.9052631855010986, 0.9204678535461426, 0.9216374158859253, 0.9333333373069763, 0.8970760107040405, 0.9099414944648743, 0.9040935635566711, 0.9099414944648743, 0.8818713426589966]"
F1,"[0.8135998845100403, 0.8908151388168335, 0.911482036113739, 0.9263968467712402, 0.936822772026062, 0.9402283430099487, 0.9465546011924744, 0.9433266520500183, 0.946662187576294, 0.9544388651847839, 0.9524130821228027, 0.9508141875267029, 0.9478816390037537, 0.9557611346244812, 0.9524769186973572, 0.9563758969306946, 0.9582565426826477, 0.9522529244422913, 0.9566391706466675, 0.9524928331375122]","[0.874524712562561, 0.9117647409439087, 0.8693402409553528, 0.9323671460151672, 0.930061399936676, 0.9326805472373962, 0.9285714030265808, 0.943847119808197, 0.9512485265731812, 0.943305253982544, 0.94344162940979, 0.9447115659713745, 0.9488703608512878, 0.9511322975158691, 0.9551886320114136, 0.9505428075790405, 0.9459784626960754, 0.9468598961830139, 0.9496403336524963, 0.9398772716522217]","[0.8554763197898865, 0.8964661955833435, 0.8590250015258789, 0.9169231057167053, 0.9022082686424255, 0.9107922911643982, 0.9162499904632568, 0.9376136064529419, 0.9392663836479187, 0.9339853525161743, 0.9357798099517822, 0.9404616951942444, 0.9459134340286255, 0.9471153020858765, 0.9505658745765686, 0.9365079402923584, 0.9436022043228149, 0.941534698009491, 0.9430302381515503, 0.9308642148971558]"
AUC ROC,"[0.6806515098462987, 0.7947469302005482, 0.8446059669415501, 0.8642167634594256, 0.8800982215085181, 0.8933176774567451, 0.905921060574961, 0.897747908189754, 0.9042168238291296, 0.9173058812165703, 0.9204623111937505, 0.9126580177003972, 0.9086790505052944, 0.9236395687188341, 0.9160344952489042, 0.9224370042138054, 0.9251285874696642, 0.9167193895415525, 0.9280513866921024, 0.9157504557912657]","[0.852404471785165, 0.8839465278599313, 0.8640423518277535, 0.9066307819708979, 0.9174405536495919, 0.9197770022477227, 0.9182686620134863, 0.9171448006624867, 0.9261504791198392, 0.9251301313143263, 0.9231337986513664, 0.9243020229504318, 0.9218176978587483, 0.928146811782799, 0.9256624866911156, 0.9381284750975984, 0.9254702472494972, 0.9326274695374424, 0.9309712528096534, 0.9347716786939548]","[0.8418008744258122, 0.8676019702252477, 0.8639363919788957, 0.8962403379637316, 0.8944693489770694, 0.8985094176028926, 0.9097275259652813, 0.9179312634899551, 0.9141383954101868, 0.9199697456048112, 0.9237091150589407, 0.9258176988211855, 0.9255336026712417, 0.9276956850591253, 0.9256572029442692, 0.9233014186359695, 0.9297341671739813, 0.9299647646982862, 0.9281568801077351, 0.9235855147859132]"
AUC PRC,"[0.810865581035614, 0.8711583614349365, 0.9008903503417969, 0.912139892578125, 0.9215695858001709, 0.9304077625274658, 0.9384481310844421, 0.9330633282661438, 0.937173068523407, 0.9453631043434143, 0.9481616616249084, 0.9426164627075195, 0.9402332305908203, 0.949870228767395, 0.9448075294494629, 0.9488281011581421, 0.9504721760749817, 0.945367157459259, 0.9530549049377441, 0.9445914030075073]","[0.9119867086410522, 0.9288804531097412, 0.9215638041496277, 0.9419760704040527, 0.9508265852928162, 0.952084481716156, 0.9518148303031921, 0.9476206302642822, 0.9529432654380798, 0.9539095163345337, 0.9523218274116516, 0.952950119972229, 0.9501296281814575, 0.9545122981071472, 0.9517157673835754, 0.9625115990638733, 0.9535784125328064, 0.9590035080909729, 0.9570521712303162, 0.9624024033546448]","[0.9068962931632996, 0.9191964864730835, 0.9231292605400085, 0.9369112253189087, 0.9385278820991516, 0.9399104118347168, 0.9475964903831482, 0.949355959892273, 0.9460664987564087, 0.9517620801925659, 0.9543221592903137, 0.9549200534820557, 0.9534570574760437, 0.9548807740211487, 0.9525183439254761, 0.9538303017616272, 0.957304835319519, 0.9579764604568481, 0.9561833143234253, 0.9553682804107666]"
