,Train,Val,Test
loss,"[1.0083894314469066, 0.7832071345140034, 0.708801000498612, 0.6719994302621611, 0.6370187758935565, 0.6079891882981772, 0.5936492674545555, 0.5944232250697882, 0.5700653520075728, 0.5653125617058824, 0.5528280659060534, 0.551370479079536, 0.5526059365574024, 0.5375787939311002, 0.5255927856330278, 0.5376610292650846, 0.5342212808155364, 0.535134759336594, 0.525568846134824, 0.5341076385302302]","[0.8507331609725952, 0.8020972980035318, 0.6950869028632706, 0.6574928035607209, 0.6417376632625992, 0.6242903148805773, 0.6248562086272884, 0.5894449490147669, 0.5947461112125499, 0.6116141064746959, 0.5909948876580676, 0.613713493218293, 0.5820529662274025, 0.5804905996129319, 0.5731034391635174, 0.5626047914092606, 0.5809514691700807, 0.5714726133926494, 0.5889687634803153, 0.5800535598316708]","[0.8419333345986701, 0.7955556109144881, 0.6900958179219349, 0.6498752759920584, 0.6448245249889992, 0.6263458891897589, 0.6196533153588707, 0.5917326793880076, 0.6011386473436613, 0.6049701211017531, 0.590167947314881, 0.6160969913408563, 0.5808773459614934, 0.5762425614772616, 0.5764858108517286, 0.5612857966004191, 0.5797551415256552, 0.5707369863584235, 0.5876119110632587, 0.5781448853982462]"
accuracy,"[0.4596515893936157, 0.6291937232017517, 0.6772751808166504, 0.6869558691978455, 0.7029567360877991, 0.7183136940002441, 0.7243264317512512, 0.727046012878418, 0.7418839335441589, 0.735621452331543, 0.7477483749389648, 0.747601330280304, 0.7458124756813049, 0.7540625929832458, 0.7616874575614929, 0.7579479813575745, 0.757889986038208, 0.7590236663818359, 0.7594883441925049, 0.7516644597053528]","[0.6251851916313171, 0.6517823934555054, 0.6728046536445618, 0.700059711933136, 0.7123494148254395, 0.7168641090393066, 0.7277684211730957, 0.7286531329154968, 0.7175080180168152, 0.7367372512817383, 0.7358878254890442, 0.7306215763092041, 0.7354252338409424, 0.7388615012168884, 0.7478024959564209, 0.7470735907554626, 0.7394571900367737, 0.7452712059020996, 0.7351641654968262, 0.7379565238952637]","[0.630045473575592, 0.6497414708137512, 0.6872720718383789, 0.7244930267333984, 0.7133307456970215, 0.71541428565979, 0.714224636554718, 0.736511766910553, 0.7282547950744629, 0.7379723191261292, 0.7183055877685547, 0.7327127456665039, 0.7327983975410461, 0.7316625714302063, 0.7470175623893738, 0.7405503392219543, 0.7345969080924988, 0.7399508357048035, 0.7236170768737793, 0.7422323226928711]"
precision,"[0.4877811372280121, 0.6418889164924622, 0.6865676045417786, 0.7008522152900696, 0.7136525511741638, 0.7304527163505554, 0.7366893887519836, 0.7410073280334473, 0.7593780159950256, 0.751466691493988, 0.7676522135734558, 0.7616322040557861, 0.7648481726646423, 0.7742988467216492, 0.7806916236877441, 0.7738731503486633, 0.7753562927246094, 0.7778787612915039, 0.7760562896728516, 0.7707790732383728]","[0.6085235476493835, 0.6475033760070801, 0.6900970339775085, 0.7132348418235779, 0.728529155254364, 0.7370569109916687, 0.7414764761924744, 0.7495436668395996, 0.7509824633598328, 0.759287416934967, 0.7763544917106628, 0.7476751208305359, 0.7642504572868347, 0.7715622782707214, 0.7634639739990234, 0.7829360961914062, 0.7713358402252197, 0.7704010605812073, 0.7788596749305725, 0.7576743960380554]","[0.6112608313560486, 0.6395268440246582, 0.7020354866981506, 0.7301750183105469, 0.7083825469017029, 0.723020613193512, 0.7174609303474426, 0.737723171710968, 0.7456801533699036, 0.74434494972229, 0.7375838756561279, 0.7372826933860779, 0.7461603283882141, 0.7465927004814148, 0.753513514995575, 0.7585604786872864, 0.754173755645752, 0.7556883692741394, 0.7483718991279602, 0.7537000179290771]"
recall,"[0.4596515893936157, 0.6291937232017517, 0.6772751808166504, 0.6869558691978455, 0.7029567360877991, 0.7183136940002441, 0.7243264317512512, 0.727046012878418, 0.7418839335441589, 0.735621452331543, 0.7477483749389648, 0.747601330280304, 0.7458124756813049, 0.7540625929832458, 0.7616874575614929, 0.7579479813575745, 0.757889986038208, 0.7590236663818359, 0.7594883441925049, 0.7516644597053528]","[0.6251851916313171, 0.6517823934555054, 0.6728046536445618, 0.700059711933136, 0.7123494148254395, 0.7168641090393066, 0.7277684211730957, 0.7286531329154968, 0.7175080180168152, 0.7367372512817383, 0.7358878254890442, 0.7306215763092041, 0.7354252338409424, 0.7388615012168884, 0.7478024959564209, 0.7470735907554626, 0.7394571900367737, 0.7452712059020996, 0.7351641654968262, 0.7379565238952637]","[0.630045473575592, 0.6497414708137512, 0.6872720718383789, 0.7244930267333984, 0.7133307456970215, 0.71541428565979, 0.714224636554718, 0.736511766910553, 0.7282547950744629, 0.7379723191261292, 0.7183055877685547, 0.7327127456665039, 0.7327983975410461, 0.7316625714302063, 0.7470175623893738, 0.7405503392219543, 0.7345969080924988, 0.7399508357048035, 0.7236170768737793, 0.7422323226928711]"
F1,"[0.4650850296020508, 0.6284291744232178, 0.6740214824676514, 0.686103343963623, 0.7032950520515442, 0.7200458645820618, 0.7266048789024353, 0.7284290194511414, 0.7449530959129333, 0.7376815676689148, 0.7517334818840027, 0.7507777214050293, 0.7503342628479004, 0.7581602931022644, 0.7658734917640686, 0.7613484263420105, 0.7619345784187317, 0.7630907893180847, 0.7625102400779724, 0.7558698654174805]","[0.5977339744567871, 0.6203927397727966, 0.6555020809173584, 0.6972296833992004, 0.7001550197601318, 0.7060157656669617, 0.7146586775779724, 0.7211057543754578, 0.7066377997398376, 0.7268301844596863, 0.7288260459899902, 0.7152401804924011, 0.7269522547721863, 0.7323653101921082, 0.7379668354988098, 0.7445010542869568, 0.7310202121734619, 0.7381067872047424, 0.7245730757713318, 0.7276148796081543]","[0.6062051653862, 0.621023416519165, 0.6754107475280762, 0.7220396399497986, 0.7002165913581848, 0.7048156261444092, 0.6990790963172913, 0.7288736701011658, 0.718101978302002, 0.7269432544708252, 0.7054993510246277, 0.7178223729133606, 0.7232823967933655, 0.7218500971794128, 0.7396320700645447, 0.7350842356681824, 0.7250838875770569, 0.73258376121521, 0.7123599648475647, 0.733493983745575]"
AUC ROC,"[0.6336799263954163, 0.7757660746574402, 0.8115459084510803, 0.8276770710945129, 0.8397830128669739, 0.8493073582649231, 0.8545093536376953, 0.8530495166778564, 0.8600332140922546, 0.8626854419708252, 0.8662193417549133, 0.8692603707313538, 0.8687872290611267, 0.8742133975028992, 0.8763269782066345, 0.8732750415802002, 0.8710045218467712, 0.8734177947044373, 0.8769943118095398, 0.876453697681427]","[0.7510855793952942, 0.784561812877655, 0.8203094601631165, 0.8297368884086609, 0.8406123518943787, 0.8507395386695862, 0.8524747490882874, 0.8606593012809753, 0.859609067440033, 0.8558704853057861, 0.8630408644676208, 0.8681737780570984, 0.8666603565216064, 0.8693149089813232, 0.8702712059020996, 0.8711633682250977, 0.8668311238288879, 0.8709284663200378, 0.8695409893989563, 0.8687377572059631]","[0.7610011696815491, 0.8009541630744934, 0.8247177004814148, 0.8415550589561462, 0.8458537459373474, 0.8536534309387207, 0.8571643233299255, 0.8644265532493591, 0.8641793131828308, 0.8581282496452332, 0.86493319272995, 0.868751049041748, 0.8703396916389465, 0.8722432255744934, 0.8716747164726257, 0.8732578158378601, 0.8683602213859558, 0.8727846145629883, 0.8720176219940186, 0.8701331615447998]"
AUC PRC,"[0.47192856669425964, 0.6373410224914551, 0.6701567769050598, 0.6949804425239563, 0.71409672498703, 0.7324800491333008, 0.7369709610939026, 0.7293953895568848, 0.7460492253303528, 0.7561165690422058, 0.763333797454834, 0.7607842087745667, 0.7580690383911133, 0.7720768451690674, 0.7753625512123108, 0.7717205882072449, 0.7697513699531555, 0.768352746963501, 0.7738487124443054, 0.7749410271644592]","[0.6028496623039246, 0.6649436354637146, 0.7140255570411682, 0.7218769192695618, 0.7446511387825012, 0.7542673945426941, 0.7479727864265442, 0.7627819180488586, 0.7647233009338379, 0.7371564507484436, 0.7551977038383484, 0.7599086165428162, 0.7579681873321533, 0.7598047852516174, 0.7622973322868347, 0.7594356536865234, 0.7543659210205078, 0.7652074694633484, 0.7565646171569824, 0.7552501559257507]","[0.623540461063385, 0.6732144355773926, 0.7147169709205627, 0.7325422167778015, 0.7356908917427063, 0.7557482719421387, 0.7603208422660828, 0.7645010948181152, 0.766392707824707, 0.7498214840888977, 0.7638877034187317, 0.770900309085846, 0.7727005481719971, 0.7788968086242676, 0.7783584594726562, 0.7758732438087463, 0.7702240943908691, 0.7805346846580505, 0.7729231715202332, 0.7722480893135071]"
