,Train,Val,Test
loss,"[0.5520261526107788, 0.4724181890487671, 0.42797714471817017, 0.4027114510536194, 0.38786059617996216, 0.37278100848197937, 0.3639224171638489, 0.35386553406715393, 0.346664696931839, 0.34452366828918457, 0.3393993377685547, 0.3388385772705078, 0.333042174577713, 0.3348477780818939, 0.32871654629707336, 0.3299541175365448, 0.33391904830932617, 0.32690054178237915, 0.32430872321128845, 0.3321419358253479]","[0.614025354385376, 0.5807932615280151, 0.5528596043586731, 0.5234476923942566, 0.5216434001922607, 0.5113104581832886, 0.5105977654457092, 0.5118898749351501, 0.49821895360946655, 0.5084844827651978, 0.495563805103302, 0.481812447309494, 0.4936699867248535, 0.48428452014923096, 0.48943135142326355, 0.4832666516304016, 0.49416661262512207, 0.5031008124351501, 0.4983311891555786, 0.5007668733596802]","[0.6019705533981323, 0.5710648894309998, 0.5396564602851868, 0.5254568457603455, 0.5159755945205688, 0.5075996518135071, 0.5069624781608582, 0.5019285082817078, 0.49789556860923767, 0.49973052740097046, 0.4909190237522125, 0.48249778151512146, 0.5018360614776611, 0.4857618808746338, 0.4847767651081085, 0.4853466749191284, 0.49360886216163635, 0.49907854199409485, 0.49478593468666077, 0.49283865094184875]"
accuracy,"[0.7269938588142395, 0.7810583114624023, 0.8136503100395203, 0.8310966491699219, 0.8410659432411194, 0.85429447889328, 0.8550613522529602, 0.8577454090118408, 0.8642638325691223, 0.86445552110672, 0.8636886477470398, 0.8636886477470398, 0.8671395778656006, 0.8646472096443176, 0.8682898879051208, 0.8692484498023987, 0.8686733245849609, 0.8702070713043213, 0.8723159432411194, 0.8677147030830383]","[0.8125, 0.8125, 0.8125, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8125, 0.8125, 0.8125, 0.8125, 0.875, 0.875, 0.875, 0.8125, 0.8125, 0.8125, 0.875]","[0.7403846383094788, 0.7483974099159241, 0.7724359035491943, 0.7756410241127014, 0.7772436141967773, 0.7772436141967773, 0.7788461446762085, 0.7772436141967773, 0.7804487347602844, 0.7756410241127014, 0.7740384340286255, 0.7884615659713745, 0.7692307829856873, 0.7788461446762085, 0.7900640964508057, 0.7900640964508057, 0.7772436141967773, 0.7756410241127014, 0.7820512652397156, 0.7756410241127014]"
precision,"[0.752108633518219, 0.7826266884803772, 0.8152008652687073, 0.837010383605957, 0.8493119478225708, 0.8656961917877197, 0.867893397808075, 0.8697191476821899, 0.872675895690918, 0.8776823878288269, 0.8782879114151001, 0.8784688711166382, 0.8811691403388977, 0.8769926428794861, 0.8837265372276306, 0.8834974765777588, 0.8804866671562195, 0.8851156234741211, 0.8869062066078186, 0.8838274478912354]","[0.7777777910232544, 0.7777777910232544, 0.7777777910232544, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8571428656578064, 0.8571428656578064, 0.8571428656578064, 0.8571428656578064, 0.875, 0.875, 0.875, 0.8571428656578064, 0.8571428656578064, 0.8571428656578064, 0.875]","[0.7252964377403259, 0.7560439705848694, 0.7805429697036743, 0.807881772518158, 0.8038740754127502, 0.7980997562408447, 0.7943925261497498, 0.8068459630012512, 0.8186398148536682, 0.8094059228897095, 0.8120300769805908, 0.8161764740943909, 0.8153846263885498, 0.7943925261497498, 0.8061465620994568, 0.8229426145553589, 0.8259740471839905, 0.8205128312110901, 0.8097561001777649, 0.8004807829856873]"
recall,"[0.9434838891029358, 0.9765161275863647, 0.9687741994857788, 0.9594838619232178, 0.9556128978729248, 0.9514838457107544, 0.949419379234314, 0.9509677290916443, 0.9569032192230225, 0.9499354958534241, 0.9478709697723389, 0.9476128816604614, 0.9491612911224365, 0.9512258172035217, 0.9473548531532288, 0.9491612911224365, 0.9525161385536194, 0.948387086391449, 0.9491612911224365, 0.9463225603103638]","[0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.75, 0.75, 0.75, 0.75, 0.875, 0.875, 0.875, 0.75, 0.75, 0.75, 0.875]","[0.9410256147384644, 0.8820512890815735, 0.8846153616905212, 0.8410256505012512, 0.8512820601463318, 0.8615384697914124, 0.8717948794364929, 0.8461538553237915, 0.8333333134651184, 0.8384615182876587, 0.8307692408561707, 0.8538461327552795, 0.8153846263885498, 0.8717948794364929, 0.8743589520454407, 0.8461538553237915, 0.8153846263885498, 0.8205128312110901, 0.8512820601463318, 0.8538461327552795]"
F1,"[0.83699631690979, 0.8688863515853882, 0.8853773474693298, 0.894072413444519, 0.8993321061134338, 0.9065650701522827, 0.9068277478218079, 0.908530592918396, 0.9128507971763611, 0.9123806953430176, 0.91175377368927, 0.9117318391799927, 0.9139024019241333, 0.9126021265983582, 0.9144351482391357, 0.9151530265808105, 0.9150861501693726, 0.9156596660614014, 0.9169782996177673, 0.9140079617500305]","[0.8235294222831726, 0.8235294222831726, 0.8235294222831726, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.7999999523162842, 0.7999999523162842, 0.7999999523162842, 0.7999999523162842, 0.875, 0.875, 0.875, 0.7999999523162842, 0.7999999523162842, 0.7999999523162842, 0.875]","[0.8191964626312256, 0.8142012357711792, 0.8293269276618958, 0.8241206407546997, 0.8268991112709045, 0.8286066651344299, 0.8312958478927612, 0.8260325193405151, 0.8259212374687195, 0.8236775994300842, 0.8212927579879761, 0.8345864415168762, 0.8153846263885498, 0.8312958478927612, 0.8388683795928955, 0.8343868851661682, 0.8206452131271362, 0.8205128312110901, 0.8299999833106995, 0.826302707195282]"
AUC ROC,"[0.5224503874778748, 0.5963863134384155, 0.6670866012573242, 0.7097941637039185, 0.7328400015830994, 0.7624682784080505, 0.765910267829895, 0.7696673274040222, 0.7767364978790283, 0.7836925983428955, 0.7841517329216003, 0.7843955755233765, 0.7896440029144287, 0.7828463315963745, 0.7935879230499268, 0.7937454581260681, 0.7894571423530579, 0.7963411808013916, 0.7997111678123474, 0.7934446334838867]","[0.8125, 0.8125, 0.8125, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8125, 0.8125, 0.8125, 0.8125, 0.875, 0.875, 0.875, 0.8125, 0.8125, 0.8125, 0.875]","[0.6735042929649353, 0.7038461565971375, 0.7350427508354187, 0.7538461685180664, 0.7525641322135925, 0.7491452693939209, 0.747863233089447, 0.754273533821106, 0.7628205418586731, 0.7547008395195007, 0.7551282048225403, 0.7666666507720947, 0.7538461685180664, 0.747863233089447, 0.761965811252594, 0.7713675498962402, 0.7645299434661865, 0.7606837749481201, 0.7589743733406067, 0.7495726346969604]"
AUC PRC,"[0.08909660577774048, 0.15618395805358887, 0.364163875579834, 0.8205060362815857, 0.46034523844718933, 0.3996396064758301, 0.35007038712501526, 0.3983704745769501, 0.5959427952766418, 0.3956444561481476, 0.33920779824256897, 0.3327193856239319, 0.3850155472755432, 0.431529700756073, 0.34160780906677246, 0.39314478635787964, 0.4856913387775421, 0.3758516013622284, 0.4055361747741699, 0.31348541378974915]","[0.7430555820465088, 0.7430555820465088, 0.7430555820465088, 0.828125, 0.828125, 0.828125, 0.828125, 0.828125, 0.828125, 0.7678571343421936, 0.7678571343421936, 0.7678571343421936, 0.7678571343421936, 0.828125, 0.828125, 0.828125, 0.7678571343421936, 0.7678571343421936, 0.7678571343421936, 0.828125]","[-2.4843242168426514, -2.193971872329712, -2.232994318008423, -2.0154216289520264, -2.06941294670105, -2.121504783630371, -2.175541877746582, -2.043367624282837, -1.9821271896362305, -2.002401351928711, -1.961475133895874, -2.0965118408203125, -1.8779929876327515, -2.175541877746582, -2.2028329372406006, -2.059553384780884, -1.8871067762374878, -1.9112647771835327, -2.075287342071533, -2.0805256366729736]"
