,Train,Val,Test
loss,"[0.5616086366575516, 0.3642790587437756, 0.2846381201586371, 0.25574306308759326, 0.23639001820511854, 0.20965691031127123, 0.19941025681735708, 0.17978587281321273, 0.17955366860538838, 0.1775456928803879, 0.17221675904518435, 0.16689005717345248, 0.15448332801896078, 0.15071574673201554, 0.15576205106183943, 0.16222501105487577, 0.15339064998153581, 0.15050873676394674, 0.15217166532425333, 0.1363567447050652]","[0.4578807168715709, 0.3704178679633785, 0.3000091189468229, 0.29134338570607676, 0.2507122074430053, 0.24362668636682872, 0.2121278665758468, 0.22626391757984418, 0.32433628874856074, 0.18272811154255997, 0.2089044638984912, 0.16354224297243194, 0.2297686199481423, 0.17634771140040578, 0.21331875811557513, 0.15890343064391935, 0.1797960279761134, 0.17447787553474708, 0.24265327505968712, 0.1820129889088708]","[0.4574385637769828, 0.3617010052139695, 0.32125431681806976, 0.3148740596465162, 0.25260665247569214, 0.2652863681920477, 0.22719672201453028, 0.24228392601818652, 0.3478997007415101, 0.20544325363998478, 0.2321412723410774, 0.18591093840832645, 0.25526938255171516, 0.2004342325333808, 0.23765757387957057, 0.18323977674181396, 0.20332023964540377, 0.19507202526202072, 0.2639316508697497, 0.20326182472746115]"
accuracy,"[0.6996095776557922, 0.8408979773521423, 0.8823816776275635, 0.8999512195587158, 0.906051754951477, 0.920693039894104, 0.9214251041412354, 0.9336261749267578, 0.9292337894439697, 0.9370424747467041, 0.9324060678482056, 0.9358223676681519, 0.9416788816452026, 0.942410945892334, 0.939726710319519, 0.9443631172180176, 0.9453392028808594, 0.9450951814651489, 0.9431430101394653, 0.9524158239364624]","[0.8003413081169128, 0.8532423377037048, 0.8907849788665771, 0.8993173837661743, 0.9010238647460938, 0.9163822531700134, 0.9232081770896912, 0.9010238647460938, 0.8515358567237854, 0.92662113904953, 0.9095563292503357, 0.9334471225738525, 0.8959044218063354, 0.92662113904953, 0.9112628102302551, 0.9317406415939331, 0.9249146580696106, 0.9334471225738525, 0.8890784978866577, 0.9283276200294495]","[0.7687713503837585, 0.8668941855430603, 0.88225257396698, 0.8813993334770203, 0.9129692912101746, 0.9138225317001343, 0.9138225317001343, 0.9027303457260132, 0.8421501517295837, 0.92662113904953, 0.9035836458206177, 0.9360068440437317, 0.8933447003364563, 0.9240614175796509, 0.9035836458206177, 0.9343003630638123, 0.9189419746398926, 0.9283276200294495, 0.8856655359268188, 0.9180887341499329]"
precision,"[0.7733913660049438, 0.864628791809082, 0.9095362424850464, 0.9232283234596252, 0.9325805306434631, 0.9396238923072815, 0.9420145750045776, 0.949404776096344, 0.9461334943771362, 0.9562458395957947, 0.9493209719657898, 0.9534419775009155, 0.9592654705047607, 0.9586942195892334, 0.9570143222808838, 0.9569821357727051, 0.9597739577293396, 0.961911141872406, 0.958735466003418, 0.9632084965705872]","[0.8206185698509216, 0.9033018946647644, 0.9527363181114197, 0.971867024898529, 0.9671717286109924, 0.9656019806861877, 0.9775561094284058, 0.9842932224273682, 0.9913544654846191, 0.9824561476707458, 0.9844961166381836, 0.980246901512146, 0.9919571280479431, 0.9824561476707458, 0.9895833134651184, 0.9801980257034302, 0.9800000190734863, 0.9850373864173889, 0.9918699264526367, 0.9800994992256165]","[0.7937625646591187, 0.9126328229904175, 0.9543726444244385, 0.9637305736541748, 0.9677018523216248, 0.9677419066429138, 0.9724310636520386, 0.9793014526367188, 0.9869186282157898, 0.9764559864997864, 0.9780927896499634, 0.9791154861450195, 0.9866666793823242, 0.9799498915672302, 0.9805699586868286, 0.977886974811554, 0.9797979593276978, 0.9788820147514343, 0.9865047335624695, 0.9785624146461487]"
recall,"[0.8321070075035095, 0.9270902872085571, 0.931438148021698, 0.9411371350288391, 0.939130425453186, 0.9525083899497986, 0.9508361220359802, 0.9602006673812866, 0.9575250744819641, 0.9575250744819641, 0.9585283994674683, 0.9588629007339478, 0.960869550704956, 0.9625418186187744, 0.9605351090431213, 0.9672240614891052, 0.9655518531799316, 0.9628762602806091, 0.9635451436042786, 0.9719063639640808]","[0.9299065470695496, 0.894859790802002, 0.894859790802002, 0.8878504633903503, 0.894859790802002, 0.9182242751121521, 0.9158878326416016, 0.8785046935081482, 0.8037382960319519, 0.9158878326416016, 0.8901869058609009, 0.927570104598999, 0.8644859790802002, 0.9158878326416016, 0.8878504633903503, 0.9252336621284485, 0.9158878326416016, 0.922897219657898, 0.855140209197998, 0.9205607771873474]","[0.9228070378303528, 0.9040935635566711, 0.8807017803192139, 0.8701754212379456, 0.9111111164093018, 0.9122806787490845, 0.9076023101806641, 0.8853800892829895, 0.794152021408081, 0.9216374158859253, 0.8877192735671997, 0.9321637153625488, 0.8654970526695251, 0.9146198630332947, 0.8853800892829895, 0.9309941530227661, 0.9076023101806641, 0.9216374158859253, 0.8549707531929016, 0.9076023101806641]"
F1,"[0.80167555809021, 0.8947708010673523, 0.9203569293022156, 0.9320967197418213, 0.9358439445495605, 0.9460222721099854, 0.9464048147201538, 0.9547721743583679, 0.9517951607704163, 0.956885039806366, 0.9539024829864502, 0.9561447501182556, 0.9600668549537659, 0.9606141448020935, 0.9587714672088623, 0.9620758295059204, 0.962654173374176, 0.9623934626579285, 0.9611343145370483, 0.9675378799438477]","[0.8718510866165161, 0.8990610241889954, 0.9228914976119995, 0.9279609322547913, 0.9296116828918457, 0.9413173794746399, 0.9457176923751831, 0.9283950328826904, 0.8877418637275696, 0.9480047821998596, 0.9349693059921265, 0.953181266784668, 0.9238451719284058, 0.9480047821998596, 0.935960590839386, 0.9519230723381042, 0.9468598961830139, 0.9529553055763245, 0.9184442162513733, 0.949397623538971]","[0.8534342646598816, 0.9083431363105774, 0.9160584211349487, 0.914566695690155, 0.9385541677474976, 0.9391932487487793, 0.9388989806175232, 0.9299754500389099, 0.8801036477088928, 0.9482550621032715, 0.9307173490524292, 0.9550629258155823, 0.9221183657646179, 0.9461585283279419, 0.9305469989776611, 0.953864574432373, 0.9423193335533142, 0.949397623538971, 0.9160401225090027, 0.9417476058006287]"
AUC ROC,"[0.5870823925721116, 0.7676967750504087, 0.8407190635451505, 0.8649728940028736, 0.8779587191963585, 0.8936729531651836, 0.8964469410670949, 0.9110570131485215, 0.9052065851273197, 0.9196470183403161, 0.9102208927471838, 0.9162545428202311, 0.9253806309841469, 0.9253142243096725, 0.9220545621385364, 0.9249477802059815, 0.9281730316457989, 0.9299940837690014, 0.9258158965504751, 0.9358629245499439]","[0.6896368153318349, 0.817683071099018, 0.887303324263575, 0.9091151070625814, 0.9062906660357269, 0.9148083520643558, 0.929462912575417, 0.9202649946764462, 0.8923754879924287, 0.9357920264994677, 0.9261061161717733, 0.9384685910327695, 0.9227493197681297, 0.9357920264994677, 0.9312670057967586, 0.937300366733704, 0.9326274695374424, 0.9424612563586893, 0.918076422571868, 0.9349639181355732]","[0.6380596601914882, 0.8353275407235228, 0.8835685428081244, 0.890923681443356, 0.914546091833158, 0.9151308871547955, 0.9191008541332301, 0.9174534654195953, 0.8828804397955984, 0.9308502591916173, 0.917045768996624, 0.9392679912188463, 0.9169756673492353, 0.9320733484605309, 0.9190307524858413, 0.9371059088309628, 0.9285645765307063, 0.9340048333241094, 0.9117125094544984, 0.9269872894644603]"
AUC PRC,"[0.7660431861877441, 0.8547856211662292, 0.8972011208534241, 0.9118322134017944, 0.9202266335487366, 0.9296506643295288, 0.9315726161003113, 0.9406576752662659, 0.9369372725486755, 0.9466201066970825, 0.9402097463607788, 0.9442347884178162, 0.9502794742584229, 0.9501136541366577, 0.9480403661727905, 0.9495302438735962, 0.9518457055091858, 0.9532877802848816, 0.9503832459449768, 0.9566462635993958]","[0.8142931461334229, 0.8851203918457031, 0.9293572306632996, 0.9447838664054871, 0.9422749280929565, 0.9463661313056946, 0.9567651748657227, 0.9534434080123901, 0.9401342272758484, 0.9612530469894409, 0.9565903544425964, 0.9621487259864807, 0.9565091133117676, 0.9612530469894409, 0.9605132937431335, 0.961519718170166, 0.9590035080909729, 0.9654022455215454, 0.9539898633956909, 0.9602616429328918]","[0.7888036966323853, 0.8950713872909546, 0.9275484085083008, 0.9333245754241943, 0.946530282497406, 0.9468454122543335, 0.9499868750572205, 0.9506717324256897, 0.9339340925216675, 0.9571055769920349, 0.950183093547821, 0.9621840119361877, 0.9520800113677979, 0.9585683345794678, 0.9517948627471924, 0.9607483744621277, 0.9566730856895447, 0.9593415260314941, 0.9492347836494446, 0.9555516839027405]"
