,Train,Val,Test
loss,"[0.5528249733642845, 0.4557819669116796, 0.3692349999679202, 0.3194788006145203, 0.27639970131189445, 0.2513624822235293, 0.22716871709907102, 0.22230456143269742, 0.21141305210699368, 0.20167675898464738, 0.19137152039413322, 0.18384493043798417, 0.19098244927794553, 0.18689116118077173, 0.17389993118810745, 0.17448601607914566, 0.17300531502943559, 0.17086276291699262, 0.17036949257558423, 0.17621279565856615]","[0.49223852399233226, 0.42707623501081726, 0.33726321442707163, 0.2935838087185009, 0.2510846915680009, 0.224341873784323, 0.21275627733887853, 0.18883654062409658, 0.1801056455116014, 0.17464678895634575, 0.16026947103642128, 0.1569417780516921, 0.1623689324871914, 0.15482781152870204, 0.14962507874981776, 0.15449398645275347, 0.1601001333344627, 0.15227399474462947, 0.15384526601111567, 0.15453545467273608]","[0.5042550559784915, 0.4347723094192711, 0.3333848511447778, 0.29795135064302264, 0.25966202608636907, 0.22512802672949997, 0.22028701913517876, 0.19234288272422714, 0.18443313225902416, 0.1815014835447073, 0.17132986170818676, 0.16429490233595306, 0.17644743067589966, 0.16641908863911758, 0.16193734522204142, 0.16790141945553794, 0.1680168494884227, 0.15790931809995626, 0.16448819138915152, 0.16555275264624003]"
accuracy,"[0.7164470553398132, 0.7410932183265686, 0.8272327780723572, 0.8723767399787903, 0.8962908983230591, 0.9082479476928711, 0.9165446758270264, 0.9189848899841309, 0.9253294467926025, 0.9216691255569458, 0.9348462820053101, 0.9328941106796265, 0.930453896522522, 0.9324060678482056, 0.9421669244766235, 0.9333821535110474, 0.9392386674880981, 0.9443631172180176, 0.9394826889038086, 0.9363104104995728]","[0.7303754091262817, 0.8174061179161072, 0.8754266500473022, 0.8873720169067383, 0.9112628102302551, 0.9215016961097717, 0.9249146580696106, 0.92662113904953, 0.9368600845336914, 0.9436860084533691, 0.9385665655136108, 0.9453924894332886, 0.9419795274734497, 0.9453924894332886, 0.9385665655136108, 0.9402730464935303, 0.9436860084533691, 0.9436860084533691, 0.9453924894332886, 0.9453924894332886]","[0.729522168636322, 0.82337886095047, 0.8856655359268188, 0.8959044218063354, 0.908703088760376, 0.9189419746398926, 0.9257678985595703, 0.9334471225738525, 0.9385665655136108, 0.9343003630638123, 0.947098970413208, 0.9453924894332886, 0.9360068440437317, 0.9385665655136108, 0.9462457299232483, 0.9402730464935303, 0.94112628698349, 0.947098970413208, 0.9419795274734497, 0.9385665655136108]"
precision,"[0.7324516773223877, 0.7386785745620728, 0.8230464458465576, 0.8839091062545776, 0.9170731902122498, 0.9293692708015442, 0.9410393238067627, 0.9371710419654846, 0.9429042935371399, 0.9443889260292053, 0.948009192943573, 0.9508469104766846, 0.9430068731307983, 0.9460703730583191, 0.9559456706047058, 0.947022020816803, 0.95516437292099, 0.9588040113449097, 0.9548772573471069, 0.9549850225448608]","[0.7303754091262817, 0.8203592896461487, 0.898876428604126, 0.8986784219741821, 0.9372093081474304, 0.9569377899169922, 0.959330141544342, 0.9508196711540222, 0.9599999785423279, 0.973621129989624, 0.9516128897666931, 0.9626168012619019, 0.9758453965187073, 0.9583333134651184, 0.9622641801834106, 0.9689737558364868, 0.973621129989624, 0.9582366347312927, 0.9736841917037964, 0.9736841917037964]","[0.729522168636322, 0.8347107172012329, 0.9046015739440918, 0.9179019331932068, 0.9379391074180603, 0.9589372277259827, 0.9626505970954895, 0.9586777091026306, 0.9666269421577454, 0.9767156839370728, 0.9562715888023376, 0.9713945388793945, 0.9767726063728333, 0.9611307382583618, 0.9736841917037964, 0.9757575988769531, 0.980440080165863, 0.9648300409317017, 0.9769697189331055, 0.9768574833869934]"
recall,"[0.9632107019424438, 0.9983277320861816, 0.9722408056259155, 0.9498327970504761, 0.9431437849998474, 0.9461538195610046, 0.9448160529136658, 0.9528428316116333, 0.955518364906311, 0.9484949707984924, 0.9635451436042786, 0.9575250744819641, 0.9628762602806091, 0.9622073769569397, 0.9652174115180969, 0.9625418186187744, 0.961872935295105, 0.9652174115180969, 0.9625418186187744, 0.9578595161437988]","[1.0, 0.9602803587913513, 0.9345794320106506, 0.9532710313796997, 0.9415887594223022, 0.9345794320106506, 0.9369158744812012, 0.9485981464385986, 0.9532710313796997, 0.9485981464385986, 0.9649532437324524, 0.9626168012619019, 0.9439252614974976, 0.9672897458076477, 0.9532710313796997, 0.9485981464385986, 0.9485981464385986, 0.9649532437324524, 0.9509345889091492, 0.9509345889091492]","[1.0, 0.9450292587280273, 0.9426900744438171, 0.9415204524993896, 0.9368420839309692, 0.9286549687385559, 0.934502899646759, 0.9497076272964478, 0.9485380053520203, 0.9321637153625488, 0.9719298481941223, 0.9532163739204407, 0.934502899646759, 0.9543859362602234, 0.952046811580658, 0.9415204524993896, 0.9380117058753967, 0.9625731110572815, 0.9426900744438171, 0.9380117058753967]"
F1,"[0.8321294784545898, 0.8490968942642212, 0.8914443254470825, 0.9156859517097473, 0.929925799369812, 0.9376864433288574, 0.942923903465271, 0.9449419379234314, 0.949169397354126, 0.9464374780654907, 0.9557140469551086, 0.9541743397712708, 0.9528380036354065, 0.9540706276893616, 0.9605591893196106, 0.9547188878059387, 0.9585069417953491, 0.9620000123977661, 0.9586942195892334, 0.9564201235771179]","[0.8441814184188843, 0.8848223686218262, 0.9163803458213806, 0.9251700639724731, 0.939393937587738, 0.9456264972686768, 0.9479905366897583, 0.949707567691803, 0.9566236734390259, 0.960946798324585, 0.9582366347312927, 0.9626168012619019, 0.95961993932724, 0.9627906680107117, 0.9577465057373047, 0.9586776494979858, 0.960946798324585, 0.9615831971168518, 0.9621750116348267, 0.9621750116348267]","[0.8436111807823181, 0.8864508867263794, 0.9232531785964966, 0.9295611381530762, 0.9373903274536133, 0.9435532093048096, 0.9483679533004761, 0.9541715979576111, 0.9574970602989197, 0.9539197683334351, 0.9640371203422546, 0.9622195959091187, 0.9551703333854675, 0.9577465057373047, 0.9627439975738525, 0.9583333730697632, 0.958756685256958, 0.9637002348899841, 0.9595237970352173, 0.957040548324585]"
AUC ROC,"[0.5068761092933123, 0.5226295835697813, 0.7040806901464569, 0.806595088320877, 0.8564997041884501, 0.8760552624271036, 0.8925343805464666, 0.890230068942202, 0.899690605266653, 0.8988864808084711, 0.9104729362616665, 0.9119755381959118, 0.9029182714946331, 0.9070964587131594, 0.9225906451106577, 0.9086174734071454, 0.9200158772321698, 0.9266520169518129, 0.9198990618547987, 0.918009188268959]","[0.5, 0.6953300603336093, 0.8248846563350289, 0.8310658937655271, 0.885351354548681, 0.9103276943097125, 0.9146604755708032, 0.9078433692180291, 0.9228380456642612, 0.9394889388382822, 0.9160209393114871, 0.9306754998225482, 0.9403170472021768, 0.9266828344966285, 0.9260026026262865, 0.9331598249142317, 0.9394889388382822, 0.925514610197563, 0.9406571631373477, 0.9406571631373477]","[0.5, 0.7201486892836718, 0.8372756286088513, 0.8571955651484126, 0.8848248381205379, 0.910699725127751, 0.9183555629346764, 0.9196487538509787, 0.9301049679930636, 0.9361134170863542, 0.9260280037633516, 0.9387532975445976, 0.937283007729629, 0.9251425092700205, 0.9413230763554522, 0.9392144925932076, 0.9437692548932795, 0.9339679377202207, 0.941376574981091, 0.9390373936945413]"
AUC PRC,"[0.7323476672172546, 0.7386634349822998, 0.8204531073570251, 0.8761690855026245, 0.906415581703186, 0.9186137914657593, 0.9293726086616516, 0.9273837208747864, 0.9334172010421753, 0.9333274364471436, 0.9400479793548584, 0.9414504766464233, 0.9350852966308594, 0.9378902912139893, 0.9480736255645752, 0.9388787150382996, 0.9465652108192444, 0.9508325457572937, 0.9464396834373474, 0.9454882144927979]","[0.7303754091262817, 0.8167851567268372, 0.8878530263900757, 0.8908137679100037, 0.9251278638839722, 0.9421159625053406, 0.9448867440223694, 0.939488410949707, 0.9492698311805725, 0.9611178636550903, 0.9438592195510864, 0.9539348483085632, 0.962080717086792, 0.950876772403717, 0.951428234577179, 0.9567093253135681, 0.9611178636550903, 0.9502508044242859, 0.9617461562156677, 0.9617461562156677]","[0.729522168636322, 0.8289284110069275, 0.8945677876472473, 0.90688556432724, 0.9247759580612183, 0.9425696134567261, 0.9473813772201538, 0.9471529126167297, 0.954425036907196, 0.9599469900131226, 0.9499066472053528, 0.9600788354873657, 0.960578441619873, 0.9505661725997925, 0.9619758725166321, 0.9613578915596008, 0.9648860692977905, 0.9560232162475586, 0.9627885222434998, 0.961525559425354]"
