,Train,Val,Test
loss,"[0.8499535038081588, 0.7853868699955106, 0.7419718265069598, 0.7137942575063223, 0.6824013024916444, 0.6805298279695474, 0.664847027234994, 0.6591663427853862, 0.6558395113926453, 0.6450111547100869, 0.6172122654979795, 0.6264963499071069, 0.6134689776118164, 0.6148116909808222, 0.6132947211135686, 0.6262680989063204, 0.6122407691719931, 0.6152815815307751, 0.6160177714861784, 0.6214143563105439]","[0.6928042447244799, 0.6711772986360498, 0.6568587921761178, 0.6464114189147949, 0.6396589263065441, 0.6304160823693147, 0.6256064885371441, 0.6222237090806704, 0.6167801827997774, 0.6143159656911283, 0.612674999881435, 0.6100083138491657, 0.6077473034729829, 0.608856513693526, 0.6109501365068797, 0.607840447812467, 0.6063881935300054, 0.6079019420855755, 0.6055294178627633, 0.6072300108703407]","[0.6917858421802521, 0.6723221870693, 0.6574055036982974, 0.6459734874802667, 0.6376126062225651, 0.6304506780327978, 0.6256090579806147, 0.6214516678371945, 0.6180127045592746, 0.6148166805505753, 0.6127911338935027, 0.6113990376124511, 0.6098357547779341, 0.609021642723599, 0.608265361270389, 0.6089787084508587, 0.6075139251109716, 0.6123734168909691, 0.60734424881033, 0.6088960271429371]"
accuracy,"[0.40458759665489197, 0.7169350981712341, 0.7259638905525208, 0.7327964901924133, 0.7371888756752014, 0.7308443188667297, 0.7264519333839417, 0.7325524687767029, 0.7303562760353088, 0.7315763831138611, 0.7357247471809387, 0.7340165972709656, 0.7445095181465149, 0.7425573468208313, 0.7379209399223328, 0.7388970255851746, 0.7347486615180969, 0.739141047000885, 0.7367008328437805, 0.7381649613380432]","[0.7286689281463623, 0.7320818901062012, 0.7320818901062012, 0.7303754091262817, 0.7303754091262817, 0.7303754091262817, 0.7303754091262817, 0.7303754091262817, 0.7320818901062012, 0.7303754091262817, 0.7303754091262817, 0.7320818901062012, 0.7320818901062012, 0.7303754091262817, 0.7303754091262817, 0.7320818901062012, 0.7320818901062012, 0.7303754091262817, 0.7320818901062012, 0.7303754091262817]","[0.7303754091262817, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.7286689281463623, 0.729522168636322, 0.7278156876564026]"
precision,"[0.6880984902381897, 0.7578917741775513, 0.7523655295372009, 0.7535456418991089, 0.7552708983421326, 0.7528812885284424, 0.7506033778190613, 0.7536154389381409, 0.7516688704490662, 0.7529443502426147, 0.7524490356445312, 0.7526595592498779, 0.7577607035636902, 0.7568356990814209, 0.7538420557975769, 0.7534319162368774, 0.7521865963935852, 0.7536308169364929, 0.7528446912765503, 0.7549880146980286]","[0.7299145460128784, 0.7316239476203918, 0.7316239476203918, 0.7303754091262817, 0.7303754091262817, 0.7303754091262817, 0.7303754091262817, 0.7303754091262817, 0.7316239476203918, 0.7303754091262817, 0.7303754091262817, 0.7316239476203918, 0.7316239476203918, 0.7303754091262817, 0.7303754091262817, 0.7324185371398926, 0.7316239476203918, 0.7303754091262817, 0.7316239476203918, 0.7303754091262817]","[0.7317283153533936, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.7299145460128784, 0.729522168636322, 0.7292912006378174, 0.729522168636322, 0.7290598154067993]"
recall,"[0.336454838514328, 0.8993310928344727, 0.9307692050933838, 0.9418060183525085, 0.9464883208274841, 0.9394648671150208, 0.9361203908920288, 0.9411371350288391, 0.9414715766906738, 0.9408026933670044, 0.9505016803741455, 0.9464883208274841, 0.9551839232444763, 0.9535117149353027, 0.9515050053596497, 0.9545150399208069, 0.9491638541221619, 0.9545150399208069, 0.9515050053596497, 0.9491638541221619]","[0.9976635575294495, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9976635575294495, 1.0, 1.0, 1.0, 1.0]","[0.9953216314315796, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9988304376602173, 1.0, 0.9988304376602173, 1.0, 0.9976608157157898]"
F1,"[0.4519317150115967, 0.8225756883621216, 0.8321123719215393, 0.83722323179245, 0.8401365876197815, 0.8358874917030334, 0.8331597447395325, 0.8370018005371094, 0.835931658744812, 0.8364555239677429, 0.8399586081504822, 0.838518500328064, 0.8450954556465149, 0.843865692615509, 0.8412182331085205, 0.8421363234519958, 0.8392724990844727, 0.8422605395317078, 0.8405967950820923, 0.841013491153717]","[0.8430404663085938, 0.8450148701667786, 0.8450148701667786, 0.8441814184188843, 0.8441814184188843, 0.8441814184188843, 0.8441814184188843, 0.8441814184188843, 0.8450148701667786, 0.8441814184188843, 0.8441814184188843, 0.8450148701667786, 0.8450148701667786, 0.8441814184188843, 0.8441814184188843, 0.844708263874054, 0.8450148701667786, 0.8441814184188843, 0.8450148701667786, 0.8441814184188843]","[0.8434093594551086, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8436111807823181, 0.8434568643569946, 0.8436111807823181, 0.8430404663085938, 0.8436111807823181, 0.8424691557884216]"
AUC ROC,"[0.4624512514639653, 0.5620301727780931, 0.5520272146625937, 0.5552892916218924, 0.5594354828972629, 0.5536674595221134, 0.5483851104161888, 0.5554061069992635, 0.5510606957004697, 0.5538850923052775, 0.553319428178163, 0.5535690569044831, 0.5655883631358439, 0.5633984521207877, 0.5565286816464026, 0.55577738067928, 0.5526505318570928, 0.5562286442171861, 0.5542723639568718, 0.5589682213877788]","[0.49883177570093457, 0.5031645569620253, 0.5031645569620253, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5031645569620253, 0.5, 0.5, 0.5031645569620253, 0.5031645569620253, 0.5, 0.5, 0.5051608896249852, 0.5031645569620253, 0.5, 0.5031645569620253, 0.5]","[0.5055472540446806, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5009924917446086, 0.5, 0.4994152046783626, 0.5, 0.4988304093567251]"
AUC PRC,"[0.7156527042388916, 0.7550460696220398, 0.750791072845459, 0.7521535754203796, 0.7538985013961792, 0.7514733672142029, 0.7492632269859314, 0.7522032260894775, 0.7503786087036133, 0.7515638470649719, 0.7513192296028137, 0.7514269351959229, 0.756499707698822, 0.7555707097053528, 0.7526676058769226, 0.7523490190505981, 0.7510395646095276, 0.7525388598442078, 0.7517185807228088, 0.7536985874176025]","[0.7299156188964844, 0.7316239476203918, 0.7316239476203918, 0.7303754091262817, 0.7303754091262817, 0.7303754091262817, 0.7303754091262817, 0.7303754091262817, 0.7316239476203918, 0.7303754091262817, 0.7303754091262817, 0.7316239476203918, 0.7316239476203918, 0.7303754091262817, 0.7303754091262817, 0.7324137687683105, 0.7316239476203918, 0.7303754091262817, 0.7316239476203918, 0.7303754091262817]","[0.7317180037498474, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729522168636322, 0.729914128780365, 0.729522168636322, 0.7292914986610413, 0.729522168636322, 0.7290608882904053]"
