,Train,Val,Test
loss,"[0.7097802982024182, 0.6497899440012089, 0.6167831900982541, 0.5678771342284948, 0.5341589004381158, 0.5000214598754037, 0.463235153414396, 0.4498271928803002, 0.42837306949878945, 0.42035814174650243, 0.40649736634952083, 0.41676855510542826, 0.39305689177160597, 0.39015109344215243, 0.3915098433596615, 0.39287684736084844, 0.38915281867470725, 0.39481486235147323, 0.39080423238444423, 0.3828358617738063]","[0.5848032807981646, 0.5214570333828797, 0.4818583340258212, 0.45788636159252477, 0.4231653978695741, 0.42682820880735245, 0.41019065557299433, 0.4916646460423598, 0.9465800467375163, 0.6327032704611082, 0.6767099886327177, 0.6609981664129205, 0.738714500858977, 0.8167777464196488, 0.8475688897274636, 0.8497952677913614, 0.8315709297721451, 0.7481339267782263, 1.5974693169464935, 0.9010696548062402]","[0.5822262788141096, 0.5245246279078561, 0.5149140114317069, 0.4839875500749897, 0.4290190562605858, 0.4400798615974349, 0.5009867397917284, 0.47594814062923996, 0.7533886344046206, 0.5184144329380345, 0.6642731486542804, 0.6113823009906588, 0.8706558461527567, 0.7136104531787537, 0.8058251321718499, 0.8378480962804846, 0.8436540236344209, 0.9371355399489403, 0.9341861243183548, 0.8962321233105015]"
accuracy,"[0.6449487805366516, 0.6910688281059265, 0.712542712688446, 0.7240117192268372, 0.7347486615180969, 0.7632991671562195, 0.7808687090873718, 0.7940458655357361, 0.8055148720741272, 0.8125914931297302, 0.818448007106781, 0.8186920285224915, 0.8272327780723572, 0.8265007138252258, 0.8250365853309631, 0.825524628162384, 0.8323572278022766, 0.821132242679596, 0.8279648423194885, 0.8377256989479065]","[0.7150170803070068, 0.73549485206604, 0.7781569957733154, 0.7935153841972351, 0.7952218651771545, 0.8105801939964294, 0.8122866749763489, 0.7781569957733154, 0.703071653842926, 0.7286689281463623, 0.755972683429718, 0.6962457299232483, 0.6860068440437317, 0.6774743795394897, 0.6860068440437317, 0.6843003630638123, 0.7320818901062012, 0.6825938820838928, 0.6740614175796509, 0.703071653842926]","[0.7278156876564026, 0.7406143546104431, 0.7423208355903625, 0.761945366859436, 0.7832764387130737, 0.7943686246871948, 0.7662116289138794, 0.7952218651771545, 0.6979522109031677, 0.7738907933235168, 0.7064846158027649, 0.7670648694038391, 0.7047781348228455, 0.7133105993270874, 0.7124573588371277, 0.6783276200294495, 0.6757678985595703, 0.6783276200294495, 0.6834471225738525, 0.6723549365997314]"
precision,"[0.737837016582489, 0.7366831302642822, 0.7438105344772339, 0.7662560939788818, 0.7724019289016724, 0.7995254993438721, 0.8173543810844421, 0.8297479748725891, 0.8438382148742676, 0.8426896929740906, 0.8535894155502319, 0.8558758497238159, 0.8576802611351013, 0.8637089133262634, 0.8579527735710144, 0.8578169345855713, 0.8624488711357117, 0.8558814525604248, 0.8639694452285767, 0.8679962158203125]","[0.7476280927658081, 0.7433155179023743, 0.7779850959777832, 0.8164948225021362, 0.8130081295967102, 0.8782815933227539, 0.8935643434524536, 0.8564593195915222, 0.8919752836227417, 0.8439897894859314, 0.8759894371032715, 0.8289473652839661, 0.8262032270431519, 0.8424068689346313, 0.9265734553337097, 0.8481375575065613, 0.8594164252281189, 0.8418079018592834, 0.8356940746307373, 0.8547486066818237]","[0.7504673004150391, 0.7470852136611938, 0.7671497464179993, 0.805084764957428, 0.7960591316223145, 0.8553240895271301, 0.8797385692596436, 0.8745432496070862, 0.9113300442695618, 0.8470588326454163, 0.8888888955116272, 0.8601484894752502, 0.8827067613601685, 0.8483221530914307, 0.8865671753883362, 0.9064626097679138, 0.8550074696540833, 0.8746081590652466, 0.889067530632019, 0.8427947759628296]"
recall,"[0.7963210940361023, 0.8973244428634644, 0.9244146943092346, 0.8946488499641418, 0.9023411273956299, 0.9016722440719604, 0.901003360748291, 0.9030100107192993, 0.8999999761581421, 0.9137123823165894, 0.9066889882087708, 0.9036789536476135, 0.9150501489639282, 0.9050167202949524, 0.9110367894172668, 0.912040114402771, 0.9163879752159119, 0.9076923131942749, 0.9070234298706055, 0.9170568585395813]","[0.9205607771873474, 0.9742990732192993, 0.9742990732192993, 0.9252336621284485, 0.9345794320106506, 0.8598130941390991, 0.8434579372406006, 0.836448609828949, 0.6752336621284485, 0.7710280418395996, 0.7757009267807007, 0.735981285572052, 0.7219626307487488, 0.6869158744812012, 0.6191588640213013, 0.6915887594223022, 0.7570093274116516, 0.6962617039680481, 0.6892523169517517, 0.7149532437324524]","[0.9391812682151794, 0.9742690324783325, 0.9286549687385559, 0.8888888955116272, 0.9450292587280273, 0.8643274903297424, 0.7871345281600952, 0.8397660851478577, 0.6491228342056274, 0.8421052694320679, 0.6830409169197083, 0.8128654956817627, 0.686549723148346, 0.7391812801361084, 0.6947368383407593, 0.6233918070793152, 0.6690058708190918, 0.6526315808296204, 0.6467836499214172, 0.6771929860115051]"
F1,"[0.7659642696380615, 0.8091073632240295, 0.8243364095687866, 0.8254899382591248, 0.8323307037353516, 0.8475322127342224, 0.8571428656578064, 0.8648301959037781, 0.8710147142410278, 0.8767651319503784, 0.8793383240699768, 0.8791279792785645, 0.8854368925094604, 0.8838804364204407, 0.8836982846260071, 0.8840979337692261, 0.8886006474494934, 0.8810257911682129, 0.8849730491638184, 0.8918523788452148]","[0.8251308798789978, 0.8432760238647461, 0.8651452660560608, 0.867469847202301, 0.8695652484893799, 0.8689492344856262, 0.8677884340286255, 0.8463357090950012, 0.7686170339584351, 0.8058607578277588, 0.8228005170822144, 0.77970290184021, 0.770573616027832, 0.7567567229270935, 0.7422969937324524, 0.761904776096344, 0.8049688935279846, 0.7621483206748962, 0.7554417252540588, 0.7786259055137634]","[0.8342856764793396, 0.8456853032112122, 0.8402116298675537, 0.8449138402938843, 0.8641711473464966, 0.8598021864891052, 0.8308641910552979, 0.8568019270896912, 0.7581967115402222, 0.8445747494697571, 0.7724868059158325, 0.8358388543128967, 0.7723683714866638, 0.7900000214576721, 0.7790163159370422, 0.7387387156486511, 0.750656247138977, 0.747488260269165, 0.74881511926651, 0.7509728074073792]"
AUC ROC,"[0.5163915820484648, 0.515900474505874, 0.5326044697728892, 0.5790933677843111, 0.5924160559264938, 0.6457819687767891, 0.6788410224213081, 0.7015050167224081, 0.7252707581227437, 0.72671178295884, 0.7435069364789973, 0.7465145551356507, 0.7526514374026538, 0.7598188305180928, 0.7519985390531616, 0.7520489477560581, 0.7609918138681284, 0.7476187170230492, 0.7608221749996982, 0.7703515327867863]","[0.5393942978824086, 0.5314533301786348, 0.6105672542292677, 0.6809712528096534, 0.6761504791198392, 0.7685141369927836, 0.7856530225955282, 0.7283508813439016, 0.7268573287590204, 0.6924760440080445, 0.7391162900745297, 0.662294451673962, 0.6552851058795693, 0.6694073110138412, 0.7431237430498048, 0.6780728735360227, 0.7107831539098545, 0.6709156512480776, 0.6610818644268307, 0.6929196734887022]","[0.5484549965871567, 0.5423395502425886, 0.5842013024148173, 0.65422362425517, 0.6460161971701072, 0.7350028594093014, 0.7484568413673511, 0.7574224731123287, 0.7393879019314848, 0.71600531296696, 0.7263785120002951, 0.7281993100522073, 0.7202464626339772, 0.6913572047890494, 0.7274946040179313, 0.7249451177892154, 0.6815060785507406, 0.7001328241739997, 0.7145590052945192, 0.668249488073496]"
AUC PRC,"[0.7361642122268677, 0.7359583377838135, 0.7427382469177246, 0.7623968720436096, 0.76822429895401, 0.7926522493362427, 0.80866938829422, 0.8200370073318481, 0.832416832447052, 0.8329335451126099, 0.8420221209526062, 0.8437151312828064, 0.8468018770217896, 0.8509730696678162, 0.8465362191200256, 0.846541166305542, 0.8513431549072266, 0.8442268967628479, 0.8514784574508667, 0.8565192222595215]","[0.7462575435638428, 0.7429829835891724, 0.776761531829834, 0.8100560307502747, 0.8076022863388062, 0.8575470447540283, 0.868018388748169, 0.8358381390571594, 0.8394930958747864, 0.8179752826690674, 0.8433283567428589, 0.8029224872589111, 0.7995595335960388, 0.8073315620422363, 0.8518531918525696, 0.8118183612823486, 0.8280606269836426, 0.8079615831375122, 0.8029665350914001, 0.8192964196205139]","[0.7491934299468994, 0.7466332912445068, 0.7644652128219604, 0.7966889142990112, 0.7924015522003174, 0.8382562398910522, 0.8477626442909241, 0.8513059616088867, 0.8475378155708313, 0.8285003900527954, 0.8383761644363403, 0.8357037901878357, 0.8346909880638123, 0.817336916923523, 0.8386270999908447, 0.8398253917694092, 0.8134725689888, 0.8242098689079285, 0.8327134847640991, 0.8062295913696289]"
