,Train,Val,Test
loss,"[1.0224163794331977, 0.9527709639489883, 0.8858787526416407, 0.8184366267942733, 0.773534302233722, 0.7177084798015045, 0.690676219384494, 0.662604696207937, 0.6370768962203297, 0.626134013851329, 0.6162280211884688, 0.6045047962016169, 0.5958779077353644, 0.5925144292269235, 0.5819561844437967, 0.5735383012879219, 0.588683684164448, 0.5674054208664578, 0.5701854001687194, 0.5740684309126338]","[0.9971278680337442, 1.0335236755577293, 0.8608106229756329, 0.8028145964081222, 0.7637156860248463, 0.7193671626013678, 0.6766519014899796, 0.6861440217172777, 0.6482525057083851, 0.6290547356412217, 0.6048905930003604, 0.5985764015365291, 0.5932858763514338, 0.5931265901874851, 0.5734067365929887, 0.5719826881949966, 0.5792698852113776, 0.5726513572641321, 0.5742094210676245, 0.5693235139589052]","[0.9933141163877539, 1.029960405182194, 0.8597973262941515, 0.8051191995272765, 0.7653465287105458, 0.7098468530016977, 0.6751174081016231, 0.69129048730876, 0.6467350540128914, 0.6260207182652241, 0.6066357980708819, 0.5944889123375351, 0.5973173013410052, 0.5853496574469514, 0.5754320416096095, 0.5722217201381117, 0.5769382070850682, 0.5719271461303169, 0.5756401701553447, 0.5653087597441029]"
accuracy,"[0.3370474874973297, 0.3914365768432617, 0.5146611332893372, 0.5918985605239868, 0.6093025803565979, 0.6423637270927429, 0.6616032719612122, 0.6766645312309265, 0.6905869841575623, 0.7066571116447449, 0.6988039016723633, 0.7120463252067566, 0.717374861240387, 0.7213192582130432, 0.7315375208854675, 0.7262207865715027, 0.7197132110595703, 0.734218418598175, 0.7291090488433838, 0.7286787629127502]","[0.42946019768714905, 0.4922100007534027, 0.5875399112701416, 0.6024888157844543, 0.612636387348175, 0.6392081379890442, 0.6538300514221191, 0.651705801486969, 0.668290913105011, 0.6603955626487732, 0.6851574778556824, 0.6798136234283447, 0.6881715655326843, 0.6754470467567444, 0.6987614631652832, 0.7001011967658997, 0.7085795998573303, 0.7153188586235046, 0.7112793922424316, 0.7156205177307129]","[0.44498029351234436, 0.5002949833869934, 0.5785881280899048, 0.5907430052757263, 0.6087784171104431, 0.6332438588142395, 0.6545516848564148, 0.6481233239173889, 0.6676554679870605, 0.6787330508232117, 0.6927198767662048, 0.6941202282905579, 0.6920564770698547, 0.7028091549873352, 0.7069708704948425, 0.7126924991607666, 0.7088097929954529, 0.7137749791145325, 0.7117441296577454, 0.7179083228111267]"
precision,"[0.43091562390327454, 0.673936665058136, 0.6793813705444336, 0.6972270607948303, 0.6661515235900879, 0.7060031294822693, 0.7030885219573975, 0.7225015759468079, 0.7219542860984802, 0.7395923733711243, 0.733259379863739, 0.7371237277984619, 0.7495152354240417, 0.746318519115448, 0.759405791759491, 0.7506451606750488, 0.7446954250335693, 0.7628605961799622, 0.7581186294555664, 0.7575709223747253]","[0.4138853847980499, 0.3818419873714447, 0.7635033130645752, 0.7661442756652832, 0.6463427543640137, 0.7087010741233826, 0.7113050818443298, 0.6934060454368591, 0.7359248995780945, 0.737565815448761, 0.7536661624908447, 0.7707276344299316, 0.7625381350517273, 0.769334077835083, 0.764427661895752, 0.7632004618644714, 0.748382031917572, 0.7643287777900696, 0.7546960711479187, 0.7786909937858582]","[0.4123575985431671, 0.39042147994041443, 0.7548554539680481, 0.6170821785926819, 0.7364234924316406, 0.6918731331825256, 0.7041098475456238, 0.688975989818573, 0.719402551651001, 0.7451021075248718, 0.7455952167510986, 0.7593333125114441, 0.7581207752227783, 0.7819855809211731, 0.7754774689674377, 0.7700168490409851, 0.7491380572319031, 0.7615956664085388, 0.7611082196235657, 0.7683084607124329]"
recall,"[0.3370474874973297, 0.3914365768432617, 0.5146611332893372, 0.5918985605239868, 0.6093025803565979, 0.6423637270927429, 0.6616032719612122, 0.6766645312309265, 0.6905869841575623, 0.7066571116447449, 0.6988039016723633, 0.7120463252067566, 0.717374861240387, 0.7213192582130432, 0.7315375208854675, 0.7262207865715027, 0.7197132110595703, 0.734218418598175, 0.7291090488433838, 0.7286787629127502]","[0.42946019768714905, 0.4922100007534027, 0.5875399112701416, 0.6024888157844543, 0.612636387348175, 0.6392081379890442, 0.6538300514221191, 0.651705801486969, 0.668290913105011, 0.6603955626487732, 0.6851574778556824, 0.6798136234283447, 0.6881715655326843, 0.6754470467567444, 0.6987614631652832, 0.7001011967658997, 0.7085795998573303, 0.7153188586235046, 0.7112793922424316, 0.7156205177307129]","[0.44498029351234436, 0.5002949833869934, 0.5785881280899048, 0.5907430052757263, 0.6087784171104431, 0.6332438588142395, 0.6545516848564148, 0.6481233239173889, 0.6676554679870605, 0.6787330508232117, 0.6927198767662048, 0.6941202282905579, 0.6920564770698547, 0.7028091549873352, 0.7069708704948425, 0.7126924991607666, 0.7088097929954529, 0.7137749791145325, 0.7117441296577454, 0.7179083228111267]"
F1,"[0.23501946032047272, 0.32262444496154785, 0.4737910032272339, 0.5533385872840881, 0.5658652186393738, 0.6119945645332336, 0.6444453597068787, 0.6641741394996643, 0.6821644306182861, 0.7008145451545715, 0.6939449310302734, 0.7079979777336121, 0.7164477705955505, 0.7188380360603333, 0.731564462184906, 0.724557638168335, 0.7183520197868347, 0.7349473834037781, 0.7286801338195801, 0.7284655570983887]","[0.37425705790519714, 0.38331878185272217, 0.5034745335578918, 0.5149663090705872, 0.5373222231864929, 0.5884466171264648, 0.6141383051872253, 0.6084156632423401, 0.6367284059524536, 0.6384434700012207, 0.6703295111656189, 0.6674221158027649, 0.6696701049804688, 0.6727368235588074, 0.6871965527534485, 0.6899175643920898, 0.6943562626838684, 0.7073119282722473, 0.6993678212165833, 0.7119221091270447]","[0.39223265647888184, 0.3912455141544342, 0.490344762802124, 0.49939823150634766, 0.521601676940918, 0.5810146927833557, 0.6137227416038513, 0.6011494994163513, 0.6333913803100586, 0.6567142009735107, 0.6752886176109314, 0.6817354559898376, 0.6689729690551758, 0.6991065144538879, 0.6939876675605774, 0.7017793655395508, 0.6923949718475342, 0.7021299004554749, 0.6957377791404724, 0.7073831558227539]"
AUC ROC,"[0.6268483996391296, 0.7500621676445007, 0.7801582217216492, 0.8040525317192078, 0.8100199103355408, 0.8213677406311035, 0.8250454068183899, 0.833021879196167, 0.8397698402404785, 0.8390757441520691, 0.8445574641227722, 0.846533477306366, 0.8526144027709961, 0.8536157608032227, 0.8572192192077637, 0.8592173457145691, 0.8549526333808899, 0.8617367744445801, 0.8599161505699158, 0.8590128421783447]","[0.7099952697753906, 0.7142698764801025, 0.774163544178009, 0.8046852946281433, 0.811957597732544, 0.8118955492973328, 0.8207865357398987, 0.8178456425666809, 0.8338913917541504, 0.836963951587677, 0.8446455597877502, 0.8500328660011292, 0.8485181331634521, 0.856529176235199, 0.8538714051246643, 0.8555544018745422, 0.8516814112663269, 0.8506700396537781, 0.8529825210571289, 0.8549572825431824]","[0.7150309085845947, 0.7272900938987732, 0.7869183421134949, 0.8073782920837402, 0.8188148140907288, 0.81803297996521, 0.8233630657196045, 0.8202620148658752, 0.8356764912605286, 0.8390721678733826, 0.8457587361335754, 0.8530423641204834, 0.8509932160377502, 0.8587616086006165, 0.8553230166435242, 0.8573582768440247, 0.8554825782775879, 0.8543009161949158, 0.8549953103065491, 0.8578842282295227]"
AUC PRC,"[0.44626593589782715, 0.594372570514679, 0.6365320682525635, 0.6522016525268555, 0.6539212465286255, 0.6747446656227112, 0.6807830929756165, 0.6932153701782227, 0.7013655304908752, 0.7058238983154297, 0.7117220759391785, 0.7160215377807617, 0.7324209809303284, 0.732894241809845, 0.7381975054740906, 0.742769718170166, 0.7371854186058044, 0.7438745498657227, 0.7445278763771057, 0.7401232719421387]","[0.5467932820320129, 0.5403761267662048, 0.6348259449005127, 0.6623780727386475, 0.6733437180519104, 0.6773602366447449, 0.6898223757743835, 0.6919950842857361, 0.7139790058135986, 0.7169464230537415, 0.7354264259338379, 0.7406991124153137, 0.7429736256599426, 0.7508696913719177, 0.7501057982444763, 0.752037525177002, 0.7441369891166687, 0.7454608082771301, 0.7491328716278076, 0.7501544952392578]","[0.5455821752548218, 0.5406249165534973, 0.6346247792243958, 0.6431193947792053, 0.6618488430976868, 0.6712221503257751, 0.6878440976142883, 0.6839310526847839, 0.706125795841217, 0.7112551331520081, 0.7227999567985535, 0.7339272499084473, 0.7333183288574219, 0.746990978717804, 0.740779459476471, 0.7448596954345703, 0.7408519387245178, 0.7410085797309875, 0.7427887916564941, 0.7435512542724609]"
