,Train,Val,Test
loss,"[1.0484511497419633, 0.9309609015164209, 0.849663057679796, 0.7948468578000941, 0.756136110552554, 0.726547768375753, 0.7029254181375764, 0.6818963538579904, 0.6664932377143593, 0.6503540946583803, 0.6369844781749443, 0.6410651546739883, 0.6247465496861053, 0.6266193783004924, 0.6268880674579265, 0.6078361646210637, 0.6055958380031214, 0.612304946443914, 0.6109680418606398, 0.6094045397836411]","[0.9843777820870683, 0.935713674571063, 0.8745304007787962, 0.8294387653067306, 0.7760923085985957, 0.7409907144469183, 0.7052481142250268, 0.6830893545537382, 0.6739615145567301, 0.6610468207178889, 0.6359034462555034, 0.6193215661757702, 0.6130547958451349, 0.6071891728285197, 0.6037312117782799, 0.6046450492498037, 0.5953003490293348, 0.5935396197679881, 0.5935766366687981, 0.5875949593814643]","[0.9889594920583673, 0.9337691439164651, 0.8744089200689986, 0.8262930391608058, 0.7724220422474114, 0.7394774209808659, 0.7067301873419736, 0.6851659376878996, 0.6790369479237376, 0.6689963453524822, 0.638981972997253, 0.6267844563400423, 0.619976893470094, 0.6165816010655584, 0.612634156604071, 0.6128781377463728, 0.6003335029692263, 0.6026834797214817, 0.6015522500147691, 0.5986690484994167]"
accuracy,"[0.371192067861557, 0.5112174153327942, 0.579340398311615, 0.6198260188102722, 0.6396664977073669, 0.6532750129699707, 0.6672255992889404, 0.6843132972717285, 0.6910803914070129, 0.7046411633491516, 0.7110057473182678, 0.7079417109489441, 0.7201432585716248, 0.7223065495491028, 0.7204558253288269, 0.7382688522338867, 0.736002504825592, 0.7287135124206543, 0.7255065441131592, 0.7326605916023254]","[0.5498180985450745, 0.5723692774772644, 0.6140636801719666, 0.6236281991004944, 0.592765748500824, 0.6233745813369751, 0.6199459433555603, 0.6636962294578552, 0.6496649384498596, 0.660561740398407, 0.6784257888793945, 0.6800873875617981, 0.6814196705818176, 0.6987540125846863, 0.7181441783905029, 0.7014461159706116, 0.6750578880310059, 0.6898002624511719, 0.7051637172698975, 0.6997920870780945]","[0.5608361959457397, 0.5703170895576477, 0.5916741490364075, 0.6156604290008545, 0.6031506657600403, 0.6292391419410706, 0.6171799302101135, 0.6440243721008301, 0.6503056883811951, 0.651502788066864, 0.6774502396583557, 0.6717521548271179, 0.6774079203605652, 0.6877977252006531, 0.6940441131591797, 0.6862611770629883, 0.6685121655464172, 0.6829421520233154, 0.6917417049407959, 0.6940131187438965]"
precision,"[0.385591596364975, 0.6053583025932312, 0.6501682996749878, 0.6774399280548096, 0.6915761828422546, 0.7002102732658386, 0.7110944390296936, 0.7245297431945801, 0.7208569049835205, 0.7277724742889404, 0.734860360622406, 0.7289717197418213, 0.7395195960998535, 0.7407932281494141, 0.7394189834594727, 0.7599470019340515, 0.7567320466041565, 0.7447587847709656, 0.7431459426879883, 0.7539060115814209]","[0.6369743943214417, 0.6079500913619995, 0.7209736704826355, 0.7057485580444336, 0.7903158664703369, 0.7673437595367432, 0.7986440062522888, 0.7899172306060791, 0.8101769089698792, 0.7788460850715637, 0.7685206532478333, 0.7721745371818542, 0.7696605324745178, 0.7842609286308289, 0.7731519341468811, 0.7674205899238586, 0.8118849396705627, 0.8075718879699707, 0.772899329662323, 0.7842285633087158]","[0.6013410687446594, 0.6278810501098633, 0.6471174955368042, 0.6795898079872131, 0.7427318096160889, 0.7123372554779053, 0.7086594700813293, 0.7041595578193665, 0.7266569137573242, 0.7163445949554443, 0.736051619052887, 0.7428898811340332, 0.7361258864402771, 0.7363412380218506, 0.7310199737548828, 0.7307053208351135, 0.7591171264648438, 0.7578697800636292, 0.7395619750022888, 0.7441638112068176]"
recall,"[0.371192067861557, 0.5112174153327942, 0.579340398311615, 0.6198260188102722, 0.6396664977073669, 0.6532750129699707, 0.6672255992889404, 0.6843132972717285, 0.6910803914070129, 0.7046411633491516, 0.7110057473182678, 0.7079417109489441, 0.7201432585716248, 0.7223065495491028, 0.7204558253288269, 0.7382688522338867, 0.736002504825592, 0.7287135124206543, 0.7255065441131592, 0.7326605916023254]","[0.5498180985450745, 0.5723692774772644, 0.6140636801719666, 0.6236281991004944, 0.592765748500824, 0.6233745813369751, 0.6199459433555603, 0.6636962294578552, 0.6496649384498596, 0.660561740398407, 0.6784257888793945, 0.6800873875617981, 0.6814196705818176, 0.6987540125846863, 0.7181441783905029, 0.7014461159706116, 0.6750578880310059, 0.6898002624511719, 0.7051637172698975, 0.6997920870780945]","[0.5608361959457397, 0.5703170895576477, 0.5916741490364075, 0.6156604290008545, 0.6031506657600403, 0.6292391419410706, 0.6171799302101135, 0.6440243721008301, 0.6503056883811951, 0.651502788066864, 0.6774502396583557, 0.6717521548271179, 0.6774079203605652, 0.6877977252006531, 0.6940441131591797, 0.6862611770629883, 0.6685121655464172, 0.6829421520233154, 0.6917417049407959, 0.6940131187438965]"
F1,"[0.3428572118282318, 0.4750540256500244, 0.5364866852760315, 0.582676351070404, 0.6145710945129395, 0.6340634822845459, 0.6509571671485901, 0.6729673743247986, 0.6805610656738281, 0.6957032680511475, 0.7056992650032043, 0.7034956812858582, 0.7163047790527344, 0.7199551463127136, 0.7162472605705261, 0.7359676361083984, 0.7347217202186584, 0.7259313464164734, 0.7226037383079529, 0.7313104271888733]","[0.5227444171905518, 0.5129213929176331, 0.5631341934204102, 0.5739166140556335, 0.5316088795661926, 0.5721945762634277, 0.5730640292167664, 0.626890242099762, 0.6166617274284363, 0.623668372631073, 0.6640942096710205, 0.668179452419281, 0.6660941243171692, 0.6838440895080566, 0.7056788802146912, 0.6831480860710144, 0.6571685075759888, 0.6832917332649231, 0.6911132335662842, 0.6854874491691589]","[0.5308234095573425, 0.5101305842399597, 0.5387732982635498, 0.5600817203521729, 0.5481310486793518, 0.5840868353843689, 0.5781299471855164, 0.6025912761688232, 0.6210299134254456, 0.6180711388587952, 0.6615877151489258, 0.661236047744751, 0.6593557000160217, 0.6717429757118225, 0.6785929799079895, 0.6664739847183228, 0.6499783992767334, 0.6757189631462097, 0.6773884892463684, 0.6793525218963623]"
AUC ROC,"[0.5708615779876709, 0.7341523766517639, 0.787941038608551, 0.8087479472160339, 0.8187673091888428, 0.8299005031585693, 0.832465648651123, 0.842897891998291, 0.8475217223167419, 0.8512313961982727, 0.8570611476898193, 0.8560578227043152, 0.8614374995231628, 0.8600385785102844, 0.8610604405403137, 0.8680099844932556, 0.8686266541481018, 0.8674187660217285, 0.8675332069396973, 0.8683874607086182]","[0.7339722514152527, 0.7670955657958984, 0.811859667301178, 0.8247279524803162, 0.83216792345047, 0.8467002511024475, 0.8540332317352295, 0.8594312071800232, 0.8603089451789856, 0.862923800945282, 0.870612621307373, 0.8742752075195312, 0.8731417059898376, 0.8740015625953674, 0.8756344318389893, 0.8725348114967346, 0.8782616257667542, 0.8780279159545898, 0.8777242302894592, 0.8785077929496765]","[0.7200599312782288, 0.7653131484985352, 0.8039164543151855, 0.8207628130912781, 0.8286568522453308, 0.8412044644355774, 0.8478034138679504, 0.8548967242240906, 0.8544318675994873, 0.8557632565498352, 0.8658444881439209, 0.8689706325531006, 0.8684692978858948, 0.8678748607635498, 0.869642972946167, 0.8674134612083435, 0.8740337491035461, 0.8723942637443542, 0.8724484443664551, 0.8714945316314697]"
AUC PRC,"[0.3915322721004486, 0.5739914774894714, 0.6365626454353333, 0.6581467986106873, 0.6745126843452454, 0.6885302662849426, 0.6914176940917969, 0.713651180267334, 0.7175368666648865, 0.7281356453895569, 0.7428023219108582, 0.7343024611473083, 0.7463893294334412, 0.7460492253303528, 0.7428258061408997, 0.7527201771736145, 0.7555238604545593, 0.7544571757316589, 0.7477130889892578, 0.7603486180305481]","[0.5544600486755371, 0.6140091419219971, 0.672121524810791, 0.6973843574523926, 0.7148987650871277, 0.7373206615447998, 0.7514731884002686, 0.7661025524139404, 0.7670316696166992, 0.7700681686401367, 0.7856519818305969, 0.7881954312324524, 0.7887088656425476, 0.7900226712226868, 0.793574333190918, 0.786909282207489, 0.7992716431617737, 0.7977266907691956, 0.797062337398529, 0.7983651161193848]","[0.5514605641365051, 0.6166473031044006, 0.6817211508750916, 0.6967887878417969, 0.7115737795829773, 0.7329490780830383, 0.7418922781944275, 0.7489365935325623, 0.7536978125572205, 0.7559583783149719, 0.7667765021324158, 0.7743452191352844, 0.7733239531517029, 0.772638738155365, 0.7760528922080994, 0.7719059586524963, 0.7826831936836243, 0.7798215746879578, 0.7804393172264099, 0.7793716788291931]"
