,Train,Val,Test
loss,"[1.2301616979480254, 1.1824901085419413, 1.1454074939401233, 1.0965373042956401, 1.0704626960513193, 1.0409111164887128, 1.027513312458528, 0.9892612860360498, 0.9567123804574811, 0.9438717629659037, 0.9476512969699815, 0.9191971943072308, 0.9020500695659028, 0.9001140933092466, 0.9001202972946464, 0.890738560995703, 0.8813774482517391, 0.8713299840804668, 0.8695631028381303, 0.872974501277686]","[1.0897072473087825, 1.0923702459077578, 1.083266934833011, 1.0661290465174496, 1.041412087711128, 1.057862951948836, 1.0083023857426, 1.3589586092008126, 1.1118030725298702, 1.3746533152219411, 3.0347252262605204, 2.483537346930117, 13.79282429250511, 5.675750187925391, 5.705348665649827, 13.76470527616707, 15.476500778584867, 16.345780739913117, 11.334196245348132, 10.466805986455968]","[1.091121961136122, 1.055806181720785, 1.0788145025034208, 1.0579041234544806, 1.0653600902170748, 1.0400543156507853, 1.0277566555384043, 1.1877385998094403, 1.2140683596198623, 2.22976209182997, 2.2121865258023545, 4.766698503010982, 11.364545774620932, 5.0179233277166215, 6.413216587659475, 6.452775303576444, 9.042320934501854, 8.272119900664768, 13.002214352021346, 10.091475092075967]"
accuracy,"[0.36684760451316833, 0.3743317127227783, 0.3872036039829254, 0.4079553186893463, 0.42529621720314026, 0.4351024627685547, 0.43252620100975037, 0.45772337913513184, 0.4809328019618988, 0.4965399503707886, 0.4898242652416229, 0.503049373626709, 0.5134521126747131, 0.5177455544471741, 0.5104579329490662, 0.526252031326294, 0.5290119051933289, 0.5268070697784424, 0.5314902663230896, 0.5257439017295837]","[0.3471504747867584, 0.33939340710639954, 0.3399040400981903, 0.3445519506931305, 0.3868952691555023, 0.344230055809021, 0.3850853741168976, 0.42937859892845154, 0.44984328746795654, 0.45500779151916504, 0.40783336758613586, 0.4404366910457611, 0.3954184949398041, 0.4223155677318573, 0.447482705116272, 0.38445448875427246, 0.37335118651390076, 0.4259357154369354, 0.4123567044734955, 0.4288838803768158]","[0.35082224011421204, 0.355259507894516, 0.3394107520580292, 0.34705498814582825, 0.4012599289417267, 0.36398565769195557, 0.3864664137363434, 0.47403886914253235, 0.4835086762905121, 0.44682446122169495, 0.4412895739078522, 0.44127729535102844, 0.40884533524513245, 0.44054630398750305, 0.4280884265899658, 0.4250243604183197, 0.41431522369384766, 0.4051568806171417, 0.3867453336715698, 0.43469491600990295]"
precision,"[0.37313950061798096, 0.3868529796600342, 0.39432278275489807, 0.4196474552154541, 0.4387896955013275, 0.44633492827415466, 0.4477856457233429, 0.468533992767334, 0.4884055554866791, 0.49350810050964355, 0.49638620018959045, 0.519241988658905, 0.523154616355896, 0.5394852757453918, 0.5225560069084167, 0.5331382751464844, 0.5569272637367249, 0.5428657531738281, 0.549656867980957, 0.5367178916931152]","[0.2645357549190521, 0.3404422998428345, 0.38282302021980286, 0.5084615349769592, 0.5149099230766296, 0.38750001788139343, 0.44379591941833496, 0.4256250560283661, 0.4488324224948883, 0.44158029556274414, 0.3843511641025543, 0.4161311686038971, 0.3852362632751465, 0.40863266587257385, 0.42703303694725037, 0.3935609757900238, 0.36974024772644043, 0.392988920211792, 0.34714147448539734, 0.46708598732948303]","[0.34044501185417175, 0.45604196190834045, 0.36027875542640686, 0.39495953917503357, 0.4703853130340576, 0.4759429395198822, 0.4710105359554291, 0.4948939383029938, 0.4730965197086334, 0.4367443025112152, 0.4299567937850952, 0.4407745897769928, 0.4117497503757477, 0.4348351061344147, 0.43132904171943665, 0.4080054461956024, 0.3842410743236542, 0.4063657820224762, 0.4084824323654175, 0.43171143531799316]"
recall,"[0.36684760451316833, 0.3743317127227783, 0.3872036039829254, 0.4079553186893463, 0.42529621720314026, 0.4351024627685547, 0.43252620100975037, 0.45772337913513184, 0.4809328019618988, 0.4965399503707886, 0.4898242652416229, 0.503049373626709, 0.5134521126747131, 0.5177455544471741, 0.5104579329490662, 0.526252031326294, 0.5290119051933289, 0.5268070697784424, 0.5314902663230896, 0.5257439017295837]","[0.3471504747867584, 0.33939340710639954, 0.3399040400981903, 0.3445519506931305, 0.3868952691555023, 0.344230055809021, 0.3850853741168976, 0.42937859892845154, 0.44984328746795654, 0.45500779151916504, 0.40783336758613586, 0.4404366910457611, 0.3954184949398041, 0.4223155677318573, 0.447482705116272, 0.38445448875427246, 0.37335118651390076, 0.4259357154369354, 0.4123567044734955, 0.4288838803768158]","[0.35082224011421204, 0.355259507894516, 0.3394107520580292, 0.34705498814582825, 0.4012599289417267, 0.36398565769195557, 0.3864664137363434, 0.47403886914253235, 0.4835086762905121, 0.44682446122169495, 0.4412895739078522, 0.44127729535102844, 0.40884533524513245, 0.44054630398750305, 0.4280884265899658, 0.4250243604183197, 0.41431522369384766, 0.4051568806171417, 0.3867453336715698, 0.43469491600990295]"
F1,"[0.3616161048412323, 0.3632931709289551, 0.37163054943084717, 0.3897959887981415, 0.40323448181152344, 0.4121808111667633, 0.4123859405517578, 0.4359683096408844, 0.45518913865089417, 0.4656546413898468, 0.4616474211215973, 0.4759168326854706, 0.4838148057460785, 0.48901212215423584, 0.4816041886806488, 0.49587544798851013, 0.5009903311729431, 0.49189841747283936, 0.4984050989151001, 0.4941754639148712]","[0.2581257224082947, 0.25506648421287537, 0.229481503367424, 0.24337725341320038, 0.32635655999183655, 0.2511364221572876, 0.3347426652908325, 0.4123857021331787, 0.4159304201602936, 0.43868541717529297, 0.3638071119785309, 0.39444074034690857, 0.3221428394317627, 0.3603428900241852, 0.3959117829799652, 0.2899349331855774, 0.3065232038497925, 0.32725441455841064, 0.3407612144947052, 0.35011038184165955]","[0.264382004737854, 0.26656749844551086, 0.2322186380624771, 0.25174012780189514, 0.35542330145835876, 0.2904954254627228, 0.33648157119750977, 0.4476948082447052, 0.4588654041290283, 0.4235636293888092, 0.40949928760528564, 0.3824582099914551, 0.33913281559944153, 0.38682231307029724, 0.3759782314300537, 0.35488462448120117, 0.3400329649448395, 0.3089922368526459, 0.30631181597709656, 0.35844025015830994]"
AUC ROC,"[0.5430216789245605, 0.5400441288948059, 0.5560829043388367, 0.5813630819320679, 0.5982279181480408, 0.6066392064094543, 0.6159033179283142, 0.6434767246246338, 0.6638025045394897, 0.6768147349357605, 0.6666277647018433, 0.687124490737915, 0.6965153217315674, 0.7001637816429138, 0.6994555592536926, 0.7054153084754944, 0.7114629745483398, 0.7137496471405029, 0.7108228206634521, 0.7138437628746033]","[0.6006211638450623, 0.6020750403404236, 0.6326553225517273, 0.6370872855186462, 0.6441295742988586, 0.6432515382766724, 0.6809136271476746, 0.6231072545051575, 0.6346371173858643, 0.616149365901947, 0.5699779987335205, 0.5785360932350159, 0.5556991696357727, 0.5773001909255981, 0.6141636371612549, 0.5497236251831055, 0.5264577269554138, 0.5575850605964661, 0.561582624912262, 0.5629596710205078]","[0.6308143138885498, 0.6408600807189941, 0.6360742449760437, 0.6700951457023621, 0.6598763465881348, 0.6590585708618164, 0.6696061491966248, 0.6754710674285889, 0.6457279324531555, 0.6022162437438965, 0.6023147702217102, 0.5916858315467834, 0.5566199421882629, 0.5659099221229553, 0.5839006304740906, 0.5787569284439087, 0.5509562492370605, 0.5544273257255554, 0.5590772032737732, 0.5715606808662415]"
AUC PRC,"[0.3626873195171356, 0.3572065830230713, 0.3709980249404907, 0.3927530348300934, 0.4116686284542084, 0.4242570400238037, 0.4251694679260254, 0.45941081643104553, 0.4816901981830597, 0.49853086471557617, 0.4864532947540283, 0.5052533745765686, 0.5156723856925964, 0.5257781147956848, 0.521984875202179, 0.5210230946540833, 0.5350244641304016, 0.5363208651542664, 0.5406288504600525, 0.5384740829467773]","[0.4116447865962982, 0.3969748914241791, 0.45987606048583984, 0.4609125554561615, 0.4643012285232544, 0.4530668258666992, 0.4856627881526947, 0.43039295077323914, 0.4342433214187622, 0.4286300837993622, 0.3764730393886566, 0.3852238953113556, 0.36415156722068787, 0.3862219750881195, 0.41120824217796326, 0.3604946434497833, 0.3513828217983246, 0.3653392493724823, 0.3641831874847412, 0.36614689230918884]","[0.43636617064476013, 0.4548501968383789, 0.4429260194301605, 0.4698621928691864, 0.45953258872032166, 0.47159549593925476, 0.47896644473075867, 0.4691128730773926, 0.43730244040489197, 0.392699271440506, 0.4014910161495209, 0.3904714584350586, 0.3746907711029053, 0.3706592619419098, 0.37676095962524414, 0.3771035373210907, 0.36039772629737854, 0.36515796184539795, 0.3735685348510742, 0.3777529299259186]"
