,Train,Val,Test
loss,"[1.1084343150895857, 0.8503334788960706, 0.7718732365142511, 0.7007480552456258, 0.6877090765692381, 0.6643580685329808, 0.6458120961829382, 0.6115463395758826, 0.5999738539239312, 0.5915314293673066, 0.5970794271518284, 0.5857422934547937, 0.571798395090066, 0.5782034394805997, 0.5623200626224859, 0.5648691809594863, 0.555378123711983, 0.5658949671552339, 0.5503080156758602, 0.5663889147892073]","[0.9546034142777726, 0.8631789201014751, 0.7607416252832155, 0.7092313250979861, 0.694096401736543, 0.6368575869379817, 0.6232690497024639, 0.6834295528966028, 0.6139770818723215, 0.5716981654231613, 0.5735965177819535, 0.5691601903857412, 0.6680522689948211, 0.5889678094032649, 0.5983254692038974, 0.5924140166591954, 0.574153138173593, 0.6182965785264969, 0.5555521193388346, 0.6581624029455958]","[0.9757367775246903, 0.8731241153704153, 0.7874581370804761, 0.709640150940096, 0.7033712283985035, 0.6595421437476132, 0.6526154585786768, 0.6909995312626297, 0.625231086402326, 0.580400917981122, 0.5876612957264926, 0.5775386429316288, 0.6790276391280664, 0.5987671315670013, 0.6060356735377699, 0.6006036368576256, 0.5820413018400604, 0.6217748522758484, 0.5578175036085619, 0.6669969921176498]"
accuracy,"[0.47886860370635986, 0.6164007782936096, 0.6519684195518494, 0.6744663119316101, 0.6828879714012146, 0.6945054531097412, 0.7088568806648254, 0.7152054905891418, 0.7317436337471008, 0.7348077297210693, 0.7323991656303406, 0.7317777276039124, 0.7471802830696106, 0.743772566318512, 0.7537193298339844, 0.7483097910881042, 0.7443110942840576, 0.7442929148674011, 0.7597095370292664, 0.747394323348999]","[0.567156970500946, 0.586839497089386, 0.644856870174408, 0.6423853039741516, 0.6702305674552917, 0.6857051849365234, 0.7300097346305847, 0.6938819885253906, 0.7062540054321289, 0.7176005840301514, 0.7224894165992737, 0.7100120186805725, 0.7097752690315247, 0.7168363928794861, 0.7263402342796326, 0.7202928066253662, 0.7273058295249939, 0.7241754531860352, 0.7239176630973816, 0.7082746624946594]","[0.5422444939613342, 0.568122148513794, 0.6138274669647217, 0.6526415944099426, 0.6510255336761475, 0.6632282137870789, 0.7046942114830017, 0.6713539958000183, 0.6992051601409912, 0.7240796685218811, 0.7231009006500244, 0.7274026870727539, 0.7035046219825745, 0.7345536351203918, 0.7409367561340332, 0.7265605330467224, 0.7401068806648254, 0.7335948944091797, 0.7337771058082581, 0.7150740027427673]"
precision,"[0.4684220254421234, 0.6133734583854675, 0.6480848789215088, 0.6770417094230652, 0.6839467883110046, 0.7003898620605469, 0.711829662322998, 0.719268262386322, 0.7340438365936279, 0.7413405776023865, 0.7392136454582214, 0.7374286651611328, 0.750382125377655, 0.7453981041908264, 0.7572064399719238, 0.7522681355476379, 0.7522220611572266, 0.7485952973365784, 0.76516193151474, 0.7534987926483154]","[0.5269255042076111, 0.5561237335205078, 0.6213903427124023, 0.634024441242218, 0.6643592715263367, 0.7082250118255615, 0.7140812873840332, 0.6997447609901428, 0.7201330065727234, 0.7270412445068359, 0.7240354418754578, 0.7224844098091125, 0.696953296661377, 0.7168466448783875, 0.7157018780708313, 0.7251877188682556, 0.7318994402885437, 0.7050300240516663, 0.7477850914001465, 0.6955623626708984]","[0.5034851431846619, 0.5352085828781128, 0.5848721265792847, 0.6474475264549255, 0.63252854347229, 0.6714992523193359, 0.689692497253418, 0.6617057919502258, 0.6976559162139893, 0.7295824885368347, 0.72216796875, 0.7362557053565979, 0.6866897940635681, 0.7335379123687744, 0.7291571497917175, 0.7232236862182617, 0.7379587292671204, 0.7171103358268738, 0.7525078654289246, 0.7017395496368408]"
recall,"[0.47886860370635986, 0.6164007782936096, 0.6519684195518494, 0.6744663119316101, 0.6828879714012146, 0.6945054531097412, 0.7088568806648254, 0.7152054905891418, 0.7317436337471008, 0.7348077297210693, 0.7323991656303406, 0.7317777276039124, 0.7471802830696106, 0.743772566318512, 0.7537193298339844, 0.7483097910881042, 0.7443110942840576, 0.7442929148674011, 0.7597095370292664, 0.747394323348999]","[0.567156970500946, 0.586839497089386, 0.644856870174408, 0.6423853039741516, 0.6702305674552917, 0.6857051849365234, 0.7300097346305847, 0.6938819885253906, 0.7062540054321289, 0.7176005840301514, 0.7224894165992737, 0.7100120186805725, 0.7097752690315247, 0.7168363928794861, 0.7263402342796326, 0.7202928066253662, 0.7273058295249939, 0.7241754531860352, 0.7239176630973816, 0.7082746624946594]","[0.5422444939613342, 0.568122148513794, 0.6138274669647217, 0.6526415944099426, 0.6510255336761475, 0.6632282137870789, 0.7046942114830017, 0.6713539958000183, 0.6992051601409912, 0.7240796685218811, 0.7231009006500244, 0.7274026870727539, 0.7035046219825745, 0.7345536351203918, 0.7409367561340332, 0.7265605330467224, 0.7401068806648254, 0.7335948944091797, 0.7337771058082581, 0.7150740027427673]"
F1,"[0.471317857503891, 0.6120546460151672, 0.6472070813179016, 0.6722487807273865, 0.6811515688896179, 0.6944170594215393, 0.7077541351318359, 0.714874804019928, 0.7309879660606384, 0.7352129817008972, 0.7325859069824219, 0.7321321368217468, 0.7465424537658691, 0.7427647113800049, 0.753864049911499, 0.7485365271568298, 0.7459170818328857, 0.7442188858985901, 0.7605950832366943, 0.7483763694763184]","[0.5218022465705872, 0.5507581233978271, 0.6266215443611145, 0.6378886699676514, 0.6496932506561279, 0.669945478439331, 0.716141939163208, 0.6706477999687195, 0.6941836476325989, 0.7117344737052917, 0.7161200046539307, 0.7013658881187439, 0.689925491809845, 0.7052943110466003, 0.7143763899803162, 0.7077978253364563, 0.717507541179657, 0.7084841728210449, 0.7198712229728699, 0.6876844763755798]","[0.4952707588672638, 0.5341234803199768, 0.5920303463935852, 0.6483907699584961, 0.6257877945899963, 0.6414947509765625, 0.6875739693641663, 0.6440589427947998, 0.6821022033691406, 0.7167884707450867, 0.7118558883666992, 0.7188010811805725, 0.6828527450561523, 0.7234380841255188, 0.7282068729400635, 0.7140057682991028, 0.7304156422615051, 0.7169780135154724, 0.728381872177124, 0.695750892162323]"
AUC ROC,"[0.6319201588630676, 0.7478805184364319, 0.7839754223823547, 0.8124417662620544, 0.8150963187217712, 0.8244681358337402, 0.8349806666374207, 0.847834050655365, 0.8536434173583984, 0.8591678738594055, 0.8573759198188782, 0.8591802716255188, 0.8646605014801025, 0.8644627928733826, 0.8698479533195496, 0.8695469498634338, 0.8728311657905579, 0.8662635684013367, 0.874713659286499, 0.8684269785881042]","[0.7181575894355774, 0.7370713353157043, 0.7874101996421814, 0.8033237457275391, 0.8164269328117371, 0.8393833637237549, 0.8561814427375793, 0.8445103168487549, 0.8562591075897217, 0.8617503046989441, 0.8626388907432556, 0.8643113970756531, 0.8602153658866882, 0.8652359843254089, 0.8622159361839294, 0.8676151633262634, 0.8703007102012634, 0.8636317849159241, 0.8682906627655029, 0.8627367615699768]","[0.7111395001411438, 0.731177806854248, 0.7686948776245117, 0.796323299407959, 0.8138996958732605, 0.8329977989196777, 0.8460381031036377, 0.8448819518089294, 0.8519285321235657, 0.8586532473564148, 0.8595214486122131, 0.8610374331474304, 0.8590846061706543, 0.8662204742431641, 0.8638395667076111, 0.866790771484375, 0.8694698810577393, 0.8655436038970947, 0.868885338306427, 0.8651812672615051]"
AUC PRC,"[0.469725638628006, 0.5958518981933594, 0.6440708637237549, 0.682689368724823, 0.6897053718566895, 0.7080554962158203, 0.708906352519989, 0.7313362956047058, 0.7419838905334473, 0.7512926459312439, 0.7518420219421387, 0.7497995495796204, 0.7633187770843506, 0.756993293762207, 0.7676866054534912, 0.764331042766571, 0.7696743011474609, 0.7608450055122375, 0.7685243487358093, 0.7587430477142334]","[0.5680797696113586, 0.5778608918190002, 0.6551163792610168, 0.6717734932899475, 0.6944893002510071, 0.7216520309448242, 0.7327688336372375, 0.7178897857666016, 0.7395110130310059, 0.7490804195404053, 0.7489888072013855, 0.7489935755729675, 0.7429509162902832, 0.7488818764686584, 0.7461445927619934, 0.7601656913757324, 0.762762725353241, 0.751898467540741, 0.761342465877533, 0.7487104535102844]","[0.5681899189949036, 0.5892446637153625, 0.6380080580711365, 0.6724713444709778, 0.6830899119377136, 0.7090786099433899, 0.7295629382133484, 0.7240285873413086, 0.7365822792053223, 0.7463045716285706, 0.7499072551727295, 0.7505373954772949, 0.7443621158599854, 0.7564518451690674, 0.7537562251091003, 0.7579105496406555, 0.7639476656913757, 0.75413578748703, 0.7639415860176086, 0.7528942227363586]"
