,Train,Val,Test
loss,"[1.0505057573318481, 0.9674369692802429, 0.9251224994659424, 0.894094705581665, 0.8696275949478149, 0.8431566953659058, 0.8418428897857666, 0.8282610774040222, 0.8195343017578125, 0.8166359663009644, 0.8089777827262878, 0.8041309118270874, 0.8078272938728333, 0.8046207427978516, 0.7980648875236511, 0.7928767800331116, 0.7964884638786316, 0.8082923889160156, 0.794884204864502, 0.8018916249275208]","[1.034628987312317, 1.0174704790115356, 0.9685544967651367, 0.9838035106658936, 0.9342684149742126, 0.9302400350570679, 0.9097753167152405, 0.9225969910621643, 0.9073825478553772, 0.9042208790779114, 0.8863459229469299, 0.8986299633979797, 0.885879635810852, 0.8763391375541687, 0.8819393515586853, 0.8608013987541199, 0.893247127532959, 0.8593683242797852, 0.901312530040741, 0.8841255903244019]","[1.0409696102142334, 1.0218682289123535, 0.9736499190330505, 0.9869160056114197, 0.9404833912849426, 0.9383259415626526, 0.9166333079338074, 0.9304401278495789, 0.9126067161560059, 0.9142861366271973, 0.8954904675483704, 0.9060718417167664, 0.8948618769645691, 0.8831911087036133, 0.8905162215232849, 0.872151255607605, 0.9014230966567993, 0.8658137917518616, 0.9095003008842468, 0.8915886878967285]"
accuracy,"[0.3785001039505005, 0.45453208684921265, 0.5149261951446533, 0.5515942573547363, 0.5474694967269897, 0.5910769701004028, 0.5764607787132263, 0.5913625359535217, 0.5999898910522461, 0.5937707424163818, 0.6090192198753357, 0.6019088625907898, 0.6006298065185547, 0.6116890907287598, 0.6083531975746155, 0.6179200410842896, 0.6108176708221436, 0.6078453660011292, 0.6183161735534668, 0.6048275232315063]","[0.5171424150466919, 0.5188472867012024, 0.5569074153900146, 0.5526716709136963, 0.571675181388855, 0.5719894766807556, 0.5853196382522583, 0.5613185167312622, 0.591596245765686, 0.5940870046615601, 0.5795056223869324, 0.5857341885566711, 0.593370795249939, 0.5939740538597107, 0.5987222194671631, 0.5886353850364685, 0.5812599062919617, 0.6134123802185059, 0.5828937292098999, 0.5837987065315247]","[0.5064989924430847, 0.5139461755752563, 0.5580130815505981, 0.5292644500732422, 0.5683814287185669, 0.5548754334449768, 0.5745120644569397, 0.5649601221084595, 0.5718539357185364, 0.5789929032325745, 0.5682966113090515, 0.5674962997436523, 0.580971360206604, 0.5897862911224365, 0.5859459638595581, 0.5849666595458984, 0.5713979005813599, 0.5960744619369507, 0.5669904947280884, 0.5769107341766357]"
precision,"[0.39337658882141113, 0.5483307838439941, 0.6080535650253296, 0.6298462748527527, 0.6261976957321167, 0.6658673286437988, 0.627416729927063, 0.6548632383346558, 0.6725062131881714, 0.6598666906356812, 0.6778128147125244, 0.6564629077911377, 0.6601134538650513, 0.6679841876029968, 0.6642983555793762, 0.6743355989456177, 0.6742633581161499, 0.6598159074783325, 0.6765526533126831, 0.6642774939537048]","[0.5550965070724487, 0.616446852684021, 0.7301187515258789, 0.7298789024353027, 0.6927585601806641, 0.7396809458732605, 0.7203750610351562, 0.6895121335983276, 0.7476881742477417, 0.7160102725028992, 0.744102418422699, 0.7242647409439087, 0.7277349829673767, 0.7285715937614441, 0.6940548419952393, 0.6937097311019897, 0.699755847454071, 0.7064187526702881, 0.7048770189285278, 0.7205853462219238]","[0.5156418681144714, 0.5515774488449097, 0.5494625568389893, 0.649894118309021, 0.6057374477386475, 0.6208040714263916, 0.5960953235626221, 0.6680593490600586, 0.637654721736908, 0.6377290487289429, 0.6554954051971436, 0.6314241290092468, 0.6228264570236206, 0.6245498657226562, 0.6189152002334595, 0.6492206454277039, 0.6450673341751099, 0.6237689256668091, 0.651005744934082, 0.667077898979187]"
recall,"[0.3785001039505005, 0.45453208684921265, 0.5149261951446533, 0.5515942573547363, 0.5474694967269897, 0.5910769701004028, 0.5764607787132263, 0.5913625359535217, 0.5999898910522461, 0.5937707424163818, 0.6090192198753357, 0.6019088625907898, 0.6006298065185547, 0.6116890907287598, 0.6083531975746155, 0.6179200410842896, 0.6108176708221436, 0.6078453660011292, 0.6183161735534668, 0.6048275232315063]","[0.5171424150466919, 0.5188472867012024, 0.5569074153900146, 0.5526716709136963, 0.571675181388855, 0.5719894766807556, 0.5853196382522583, 0.5613185167312622, 0.591596245765686, 0.5940870046615601, 0.5795056223869324, 0.5857341885566711, 0.593370795249939, 0.5939740538597107, 0.5987222194671631, 0.5886353850364685, 0.5812599062919617, 0.6134123802185059, 0.5828937292098999, 0.5837987065315247]","[0.5064989924430847, 0.5139461755752563, 0.5580130815505981, 0.5292644500732422, 0.5683814287185669, 0.5548754334449768, 0.5745120644569397, 0.5649601221084595, 0.5718539357185364, 0.5789929032325745, 0.5682966113090515, 0.5674962997436523, 0.580971360206604, 0.5897862911224365, 0.5859459638595581, 0.5849666595458984, 0.5713979005813599, 0.5960744619369507, 0.5669904947280884, 0.5769107341766357]"
F1,"[0.3724111020565033, 0.4205365777015686, 0.4827788770198822, 0.5253604650497437, 0.5130846500396729, 0.5694202184677124, 0.5546867251396179, 0.5739795565605164, 0.5838669538497925, 0.5757671594619751, 0.5931999087333679, 0.5851871371269226, 0.5881389379501343, 0.5981663465499878, 0.5961049795150757, 0.6046117544174194, 0.6014501452445984, 0.5961213111877441, 0.6072165966033936, 0.5924038887023926]","[0.4804753065109253, 0.4504779577255249, 0.48552727699279785, 0.4786207377910614, 0.5052767395973206, 0.4982801377773285, 0.5154212117195129, 0.4947110414505005, 0.5277153253555298, 0.5375931262969971, 0.5022143125534058, 0.5203899145126343, 0.5324877500534058, 0.5350852608680725, 0.5447656512260437, 0.5144569873809814, 0.5121894478797913, 0.5625077486038208, 0.5140896439552307, 0.5176248550415039]","[0.45529505610466003, 0.4377598762512207, 0.47375136613845825, 0.4369177222251892, 0.4889433979988098, 0.4664495885372162, 0.4876464307308197, 0.47978800535202026, 0.4903251528739929, 0.5026906728744507, 0.479820191860199, 0.4850853383541107, 0.5024587512016296, 0.5163183212280273, 0.5135412216186523, 0.5029897689819336, 0.4881838262081146, 0.5238118171691895, 0.48143458366394043, 0.49844977259635925]"
AUC ROC,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6666666865348816, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[17.903324127197266, -4.3520307540893555, -4.191280841827393, -4.3520307540893555, -4.7220048904418945, -4.3520307540893555, -4.428929328918457, -4.3520307540893555, -4.544008255004883, -4.3520307540893555, -4.5434889793396, -4.3520307540893555, -4.430881500244141, -4.3520307540893555, -4.393503189086914, -4.3520307540893555, -4.865487098693848, -4.3520307540893555, -4.4197916984558105, -4.3520307540893555]"
AUC PRC,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
