,Train,Val,Test
loss,"[1.3559168964508443, 1.269186800092111, 1.253046011646434, 1.2384158370559781, 1.214589188303001, 1.192672027688082, 1.186342026704944, 1.1465817017314035, 1.1425404905809038, 1.1452238988783572, 1.155650313726195, 1.1342249651827236, 1.1312360580329301, 1.1306523010424603, 1.1278350422818373, 1.1335765058428398, 1.1230467845493717, 1.1090797007315818, 1.1208477827361585, 1.127574862673125]","[1.096864323358278, 1.0911417490727193, 1.0857200686996047, 1.0816221140526436, 1.0783746951335185, 1.075861473341246, 1.0735334576787174, 1.071746742403185, 1.0701569624849268, 1.0693720804678428, 1.0684384542542535, 1.0679287362743068, 1.067419446803428, 1.0666950973304543, 1.0668010776107375, 1.0662297219843477, 1.066132925652169, 1.0665945523493998, 1.0662385676358197, 1.0659387949350718]","[1.096809063408826, 1.0917189507871061, 1.0863533744940888, 1.0815493947750814, 1.0785890173267674, 1.0759716597763267, 1.0737518345987476, 1.072092597549026, 1.0708507750485394, 1.0697034283264264, 1.0687927643995028, 1.0683099063667092, 1.067646156291704, 1.0674305936774693, 1.067031083074776, 1.0669038924011025, 1.0673832385926634, 1.066554755777926, 1.0668981010849412, 1.0663558075556885]"
accuracy,"[0.3075287640094757, 0.36208784580230713, 0.37855711579322815, 0.36764049530029297, 0.3713473975658417, 0.3861727714538574, 0.37828513979911804, 0.377298504114151, 0.385258287191391, 0.3730168640613556, 0.37563130259513855, 0.3795998990535736, 0.37686887383461, 0.38097795844078064, 0.37135887145996094, 0.37976232171058655, 0.3798576891422272, 0.3810547888278961, 0.3737339973449707, 0.3698711395263672]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3270241916179657, 0.3333333432674408, 0.3333333432674408, 0.33438482880592346, 0.3333333432674408, 0.33438482880592346, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
precision,"[0.31624963879585266, 0.3768662214279175, 0.3940465450286865, 0.37977004051208496, 0.392108291387558, 0.4301866292953491, 0.40638256072998047, 0.40381789207458496, 0.41896939277648926, 0.3936344087123871, 0.4114978313446045, 0.40723657608032227, 0.4038809835910797, 0.41482117772102356, 0.3908100128173828, 0.4155848026275635, 0.4147500991821289, 0.4132331311702728, 0.4077851474285126, 0.3927305042743683]","[0.0904436931014061, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084]","[0.08890794962644577, 0.15813423693180084, 0.15813423693180084, 0.4916026294231415, 0.15813423693180084, 0.4916026294231415, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084, 0.15813423693180084]"
recall,"[0.3075287640094757, 0.36208784580230713, 0.37855711579322815, 0.36764049530029297, 0.3713473975658417, 0.3861727714538574, 0.37828513979911804, 0.377298504114151, 0.385258287191391, 0.3730168640613556, 0.37563130259513855, 0.3795998990535736, 0.37686887383461, 0.38097795844078064, 0.37135887145996094, 0.37976232171058655, 0.3798576891422272, 0.3810547888278961, 0.3737339973449707, 0.3698711395263672]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3270241916179657, 0.3333333432674408, 0.3333333432674408, 0.33438482880592346, 0.3333333432674408, 0.33438482880592346, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
F1,"[0.2574092447757721, 0.34697484970092773, 0.35190925002098083, 0.33352887630462646, 0.3316093385219574, 0.3508962392807007, 0.3413490951061249, 0.33824729919433594, 0.34942731261253357, 0.32962992787361145, 0.3321031630039215, 0.33807623386383057, 0.33327558636665344, 0.34308353066444397, 0.3273800313472748, 0.3378164768218994, 0.33984389901161194, 0.34092819690704346, 0.33044949173927307, 0.3254290521144867]","[0.14228187501430511, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577]","[0.13980670273303986, 0.21450619399547577, 0.21450619399547577, 0.21672682464122772, 0.21450619399547577, 0.21672682464122772, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577, 0.21450619399547577]"
AUC ROC,"[0.4999887943267822, 0.5152382850646973, 0.521432101726532, 0.5033623576164246, 0.5156261324882507, 0.5232757925987244, 0.5213178992271423, 0.5282124876976013, 0.5217055678367615, 0.5223178267478943, 0.5209369659423828, 0.5259711146354675, 0.5207882523536682, 0.5368232131004333, 0.5266835689544678, 0.5198760628700256, 0.527138888835907, 0.5253075361251831, 0.5215317606925964, 0.5230134129524231]","[0.5111852288246155, 0.48762044310569763, 0.515523374080658, 0.49497535824775696, 0.49364805221557617, 0.5167080760002136, 0.5072470307350159, 0.4967763125896454, 0.5322084426879883, 0.49427521228790283, 0.5105554461479187, 0.48248091340065, 0.4971560537815094, 0.5172879099845886, 0.4663407802581787, 0.526096522808075, 0.5153182148933411, 0.4532226026058197, 0.4954705238342285, 0.5183653235435486]","[0.5100768208503723, 0.49288079142570496, 0.4915423095226288, 0.5100465416908264, 0.5046226382255554, 0.4991964101791382, 0.5022590756416321, 0.508799135684967, 0.49106666445732117, 0.504384458065033, 0.5149607062339783, 0.49921104311943054, 0.5050144195556641, 0.4767274558544159, 0.5043345093727112, 0.48821547627449036, 0.47874918580055237, 0.4986010491847992, 0.47450709342956543, 0.5172595381736755]"
AUC PRC,"[0.3455512523651123, 0.353458434343338, 0.35455164313316345, 0.3447805345058441, 0.34914907813072205, 0.35690465569496155, 0.3525945246219635, 0.3605403006076813, 0.35618963837623596, 0.35377267003059387, 0.3493770360946655, 0.3562840521335602, 0.3537325859069824, 0.3613145053386688, 0.3544743061065674, 0.35177063941955566, 0.3548654615879059, 0.35694432258605957, 0.351534366607666, 0.3535501956939697]","[0.3490098714828491, 0.3268902003765106, 0.3384590446949005, 0.33568692207336426, 0.33035239577293396, 0.3427802622318268, 0.34837523102760315, 0.33480653166770935, 0.36803188920021057, 0.3364246189594269, 0.343096524477005, 0.33805909752845764, 0.33543702960014343, 0.34849271178245544, 0.3242835998535156, 0.3612271249294281, 0.3452831208705902, 0.30566680431365967, 0.33327385783195496, 0.34789881110191345]","[0.34417805075645447, 0.326631635427475, 0.3310099244117737, 0.34662938117980957, 0.34522175788879395, 0.33493077754974365, 0.3416272699832916, 0.3398936092853546, 0.333949476480484, 0.334785133600235, 0.3408679962158203, 0.3355601131916046, 0.3410423994064331, 0.3196512758731842, 0.33584514260292053, 0.3324001729488373, 0.32301655411720276, 0.33488598465919495, 0.3166237771511078, 0.34992876648902893]"
